history_id,aircraft_id,maintenance_date,maintenance_type,cost,next_due_date
AMH000001,ACFT00459,2024-02-04,A-Check,307182.06,2025-08-16
AMH000002,ACFT00112,2019-12-05,A-Check,312894.91,2020-10-05
AMH000003,ACFT00269,2023-12-20,A-Check,241054.52,2024-09-18
AMH000004,ACFT00591,2018-08-06,A-Check,300529.2,2019-10-19
AMH000005,ACFT00033,2024-06-03,A-Check,233865.52,2025-04-17
AMH000006,ACFT00236,2022-07-03,C-Check,372930.49,2024-06-19
AMH000007,ACFT00094,2019-06-01,A-Check,385429.06,2019-11-24
AMH000008,ACFT00263,2022-05-03,B-Check,304891.5,2023-09-24
AMH000009,ACFT00541,2025-07-27,B-Check,323031.35,2026-02-11
AMH000010,ACFT00063,2021-09-21,C-Check,189377.95,2022-04-22
AMH000011,ACFT00239,2019-04-05,Unscheduled Repair,377592.2,2021-02-27
AMH000012,ACFT00419,2022-01-13,C-Check,229065.21,2023-05-06
AMH000013,ACFT00583,2022-10-20,A-Check,497723.85,2023-10-31
AMH000014,ACFT00303,2024-11-16,C-Check,292965.64,2026-07-31
AMH000015,ACFT00319,2018-05-16,A-Check,191232.76,2019-09-17
AMH000016,ACFT00563,2022-04-20,Unscheduled Repair,135642.33,2023-08-24
AMH000017,ACFT00395,2019-06-27,B-Check,201614.83,2021-01-18
AMH000018,ACFT00036,2023-02-13,Unscheduled Repair,461970.65,2024-08-19
AMH000019,ACFT00583,2025-10-14,A-Check,475332.31,2027-06-11
AMH000020,ACFT00565,2022-01-05,A-Check,329638.1,2023-05-30
AMH000021,ACFT00371,2022-10-05,A-Check,445438.88,2023-09-20
AMH000022,ACFT00110,2021-04-19,C-Check,459696.64,2022-06-13
AMH000023,ACFT00442,2026-03-31,C-Check,216471.34,2028-01-22
AMH000024,ACFT00392,2021-03-30,D-Check,210608.31,2022-11-17
AMH000025,ACFT00479,2022-04-28,B-Check,134359.79,2023-02-07
AMH000026,ACFT00172,2020-07-16,C-Check,444462.76,2022-03-02
AMH000027,ACFT00220,2025-05-20,B-Check,353949.17,2027-04-11
AMH000028,ACFT00281,2018-08-02,C-Check,375338.76,2020-07-03
AMH000029,ACFT00081,2024-04-19,A-Check,85251.11,2025-07-16
AMH000030,ACFT00575,2024-02-18,B-Check,278879.38,2025-12-24
AMH000031,ACFT00261,2019-07-09,C-Check,219648.55,2020-07-01
AMH000032,ACFT00491,2024-12-25,B-Check,130505.35,2025-04-08
AMH000033,ACFT00463,2024-09-18,C-Check,432329.78,2025-07-27
AMH000034,ACFT00337,2024-07-04,Unscheduled Repair,28291.16,2025-09-09
AMH000035,ACFT00567,2024-12-20,A-Check,81443.14,2025-10-07
AMH000036,ACFT00098,2019-12-16,A-Check,54235.23,2020-04-12
AMH000037,ACFT00569,2019-06-23,C-Check,119327.29,2021-02-20
AMH000038,ACFT00412,2022-09-28,A-Check,408606.96,2023-09-26
AMH000039,ACFT00217,2025-11-13,Unscheduled Repair,340680.34,2027-09-30
AMH000040,ACFT00457,2024-06-04,B-Check,347332.81,2024-12-31
AMH000041,ACFT00505,2021-12-30,B-Check,285596.75,2022-05-09
AMH000042,ACFT00383,2019-10-03,Unscheduled Repair,299918.16,2021-06-15
AMH000043,ACFT00428,2018-03-20,Unscheduled Repair,307449.3,2019-07-23
AMH000044,ACFT00600,2022-02-18,C-Check,63233.36,2022-10-17
AMH000045,ACFT00229,2021-09-09,C-Check,9745.92,2022-05-13
AMH000046,ACFT00056,2020-04-07,C-Check,410623.91,2020-07-31
AMH000047,ACFT00237,2026-01-23,A-Check,70322.3,2027-01-22
