baggage_id,ticket_id,passenger_id,weight_kg,baggage_type,status
BAG00000001,TKT00000001,PAX00000001,21.3,Checked,Loaded
BAG00000002,TKT00000001,PAX00000001,14.6,Checked,Loaded
BAG00000003,TKT00000002,PAX00000002,12.2,Checked,Loaded
BAG00000004,TKT00000004,PAX00000004,21.1,Oversized,Loaded
BAG00000005,TKT00000005,PAX00000005,,Checked,Loaded
BAG00000006,TKT00000006,PAX00000006,21.4,Checked,Loaded
BAG00000007,TKT00000007,PAX00000007,9.7,Checked,Loaded
BAG00000008,TKT00000008,PAX00000008,21.9,Carry-on,Loaded
BAG00000009,TKT00000008,PAX00000008,20.6,Carry-on,Loaded
BAG00000010,TKT00000010,PAX00000010,26.2,Oversized,Delayed
BAG00000011,TKT00000010,PAX00000010,13.2,Carry-on,Damaged
BAG00000012,TKT00000011,PAX00000011,14.5,Oversized,Loaded
BAG00000013,TKT00000012,PAX00000012,23.9,Checked,Delayed
BAG00000014,TKT00000012,PAX00000012,22.8,Carry-on,Loaded
BAG00000015,TKT00000012,PAX00000012,13.8,Oversized,Loaded
BAG00000016,TKT00000013,PAX00000013,16.1,Checked,Loaded
BAG00000017,TKT00000013,PAX00000013,16.9,Checked,Loaded
BAG00000018,TKT00000014,PAX00000014,20.0,Checked,Loaded
BAG00000019,TKT00000015,PAX00000015,21.2,Checked,Loaded
BAG00000020,TKT00000016,PAX00000016,18.9,Carry-on,Loaded
BAG00000021,TKT00000017,PAX00000017,16.0,Checked,Loaded
BAG00000022,TKT00000018,PAX00000018,24.7,Checked,Loaded
BAG00000023,TKT00000020,PAX00000020,13.3,Checked,Loaded
BAG00000024,TKT00000020,PAX00000020,18.5,Oversized,Loaded
BAG00000025,TKT00000020,PAX00000020,24.8,Oversized,Loaded
BAG00000026,TKT00000021,PAX00000021,18.6,Checked,Loaded
BAG00000027,TKT00000022,PAX00000022,17.7,Carry-on,Loaded
BAG00000028,TKT00000023,PAX00000023,15.1,Oversized,Delayed
BAG00000029,TKT00000023,PAX00000023,15.9,Carry-on,Loaded
BAG00000030,TKT00000023,PAX00000023,16.6,Checked,Loaded
BAG00000031,TKT00000024,PAX00000024,10.7,Checked,Loaded
BAG00000032,TKT00000025,PAX00000025,11.9,Carry-on,Loaded
BAG00000033,TKT00000026,PAX00000026,11.4,Carry-on,Delayed
BAG00000034,TKT00000027,PAX00000027,9.8,Checked,Loaded
BAG00000035,TKT00000028,PAX00000028,19.1,Oversized,Loaded
BAG00000036,TKT00000029,PAX00000029,14.3,Oversized,Loaded
BAG00000037,TKT00000030,PAX00000030,12.7,Carry-on,Loaded
BAG00000038,TKT00000031,PAX00000031,13.2,Oversized,Loaded
BAG00000039,TKT00000032,PAX00000032,18.7,Checked,Loaded
BAG00000040,TKT00000033,PAX00000033,20.3,Checked,Loaded
BAG00000041,TKT00000033,PAX00000033,12.1,Checked,Loaded
