booking_id,customer_id,booking_date,flight_id,channel,booking_status,total_amount,currency
BK00000001,CUS0018574,2025-06-25,FLT0021533,Airport Kiosk,Confirmed,1914.89,USD
BK00000002,CUS0019945,2025-12-01,FLT0020583,Mobile App,Confirmed,2686.77,AUD
BK00000003,CUS0054940,2025-07-07,FLT0038067,Airport Kiosk,Confirmed,1146.69,USD
BK00000004,CUS0054777,2026-06-30,FLT0057722,Call Center,Confirmed,1576.36,USD
BK00000005,CUS0033626,2025-06-01,FLT0018791,Call Center,Confirmed,4151.2,GBP
BK00000006,CUS0056365,2025-08-08,FLT0061254,Mobile App,Confirmed,4450.26,USD
BK00000007,CUS0006440,2025-05-13,FLT0073427,Call Center,Confirmed,3043.86,USD
BK00000008,CUS0058118,2025-08-01,FLT0019960,Airport Kiosk,Confirmed,3916.73,EUR
BK00000009,CUS0051673,2025-08-15,FLT0036847,Website,Confirmed,4319.35,USD
BK00000010,CUS0027725,2025-11-26,FLT0047345,Mobile App,Confirmed,4030.9,USD
BK00000011,CUS0023351,2026-03-14,FLT0032530,Mobile App,Confirmed,1169.27,USD
BK00000012,CUS0005883,2026-02-16,FLT0055658,Call Center,Confirmed,759.17,USD
BK00000013,CUS0015602,2025-10-22,FLT0030110,Website,Confirmed,3488.42,USD
BK00000014,CUS0030191,2025-12-25,FLT0031669,Mobile App,Confirmed,2484.13,GBP
BK00000015,CUS0019526,2025-09-10,FLT0059081,Call Center,Confirmed,4358.59,USD
BK00000016,CUS0000687,2026-02-18,FLT0020271,Travel Agent,Confirmed,493.28,EUR
BK00000017,CUS0057745,2025-12-10,FLT0043889,Website,Confirmed,355.4,CAD
BK00000018,CUS0027913,2025-12-22,FLT0037379,Airport Kiosk,Confirmed,1155.83,USD
BK00000019,CUS0041802,2026-03-28,FLT0072337,Call Center,Confirmed,528.27,EUR
BK00000020,CUS0050386,2026-07-31,FLT0051267,Website,Confirmed,3188.62,USD
BK00000021,CUS0031125,2025-08-30,FLT0073667,Mobile App,Confirmed,4263.04,GBP
BK00000022,CUS0050275,2026-05-02,FLT0026304,Mobile App,Confirmed,3338.11,EUR
BK00000023,CUS0017664,2025-11-11,FLT0040786,Call Center,Confirmed,4350.49,EUR
BK00000024,CUS0005407,2025-12-21,FLT0035047,Website,Confirmed,4081.97,EUR
BK00000025,CUS0019826,2025-12-09,FLT0056560,Travel Agent,Confirmed,85.99,USD
BK00000026,CUS0015493,2025-10-31,FLT0079227,Travel Agent,Confirmed,3168.01,USD
BK00000027,CUS0044531,2025-12-30,FLT0068680,Call Center,Confirmed,2698.94,GBP
BK00000028,CUS0046905,2025-10-27,FLT0029197,Call Center,Confirmed,1277.41,EUR
BK00000029,CUS0021656,2025-12-27,FLT0029480,Website,Cancelled,3822.91,USD
BK00000030,CUS0058120,2025-09-26,FLT0005555,Website,Confirmed,2325.56,USD
BK00000031,CUS0043882,2025-09-10,FLT0047570,Airport Kiosk,Confirmed,2009.4,USD
BK00000032,CUS0058315,2025-07-07,FLT0004028,Airport Kiosk,Confirmed,2379.73,USD
BK00000033,CUS0011389,2025-10-05,FLT0035645,Website,Confirmed,4260.97,AUD
BK00000034,CUS0048824,2025-08-15,FLT0079311,Travel Agent,Confirmed,2373.16,USD
BK00000035,CUS0043070,2026-02-02,FLT0066089,Website,Confirmed,3759.2,USD
BK00000036,CUS0015318,2026-04-26,FLT0060216,Travel Agent,Confirmed,3189.29,AUD
BK00000037,CUS0053679,2025-04-11,FLT0007488,Airport Kiosk,Confirmed,4400.56,GBP
BK00000038,CUS0038744,2026-03-14,FLT0037926,Mobile App,Confirmed,1773.23,USD
BK00000039,CUS0005095,2025-12-30,FLT0019750,Call Center,Confirmed,2468.55,GBP
BK00000040,CUS0055514,2026-05-18,FLT0003856,Airport Kiosk,Confirmed,3730.81,USD
BK00000041,CUS0038120,2025-07-17,FLT0056837,Mobile App,Confirmed,3030.53,USD
BK00000042,CUS0052827,2026-06-15,FLT0064879,Website,Confirmed,2672.96,USD
BK00000043,CUS0051943,2025-07-27,FLT0014008,Airport Kiosk,Confirmed,4360.88,AUD
BK00000044,CUS0039382,2025-07-23,FLT0029583,Call Center,Confirmed,275.2,USD
BK00000045,CUS0005432,2026-02-18,FLT0044225,Call Center,Cancelled,4283.04,USD
BK00000046,CUS0007107,2025-09-09,FLT0053660,Airport Kiosk,Confirmed,1580.21,USD
BK00000047,CUS0005287,2026-01-06,FLT0036748,Mobile App,Cancelled,2149.62,USD
BK00000048,CUS0003311,2025-07-31,FLT0026298,Mobile App,Confirmed,2166.77,USD
BK00000049,CUS0006494,2026-01-18,FLT0004726,Airport Kiosk,Confirmed,3311.76,USD
BK00000050,CUS0035317,2025-09-14,FLT0034827,Website,Confirmed,1203.25,USD
BK00000051,CUS0007725,2025-10-01,FLT0043952,Travel Agent,Confirmed,3960.42,USD
BK00000052,CUS0032312,2026-02-10,FLT0057827,Call Center,Confirmed,506.15,USD
BK00000053,CUS0006096,2025-02-15,FLT0066713,Airport Kiosk,Confirmed,803.38,CAD
BK00000054,CUS0034056,2025-06-28,FLT0015120,Airport Kiosk,Confirmed,162.59,EUR
BK00000055,CUS0014259,2026-01-02,FLT0010870,Travel Agent,Confirmed,604.75,AUD
BK00000056,CUS0052531,2025-11-24,FLT0021461,Airport Kiosk,Cancelled,1208.94,GBP
BK00000057,CUS0037353,2026-01-29,FLT0028936,Travel Agent,Confirmed,1624.1,USD
BK00000058,CUS0025066,2025-07-02,FLT0055328,Airport Kiosk,Confirmed,2510.46,USD
BK00000059,CUS0023939,2025-11-17,FLT0059044,Travel Agent,Confirmed,1269.35,USD
BK00000060,CUS0027518,2026-03-15,FLT0075377,Airport Kiosk,Refunded,814.73,USD
BK00000061,CUS0043770,2025-05-11,FLT0062128,Website,Confirmed,266.98,AUD
BK00000062,CUS0024423,2026-02-02,FLT0045884,Travel Agent,Confirmed,1273.79,CAD
BK00000063,CUS0055864,2026-03-24,FLT0076866,Mobile App,Confirmed,2277.04,CAD
BK00000064,CUS0000076,2025-12-28,FLT0026529,Airport Kiosk,Confirmed,3349.45,USD
BK00000065,CUS0043625,2025-12-31,FLT0027582,Mobile App,Confirmed,324.1,USD
BK00000066,CUS0003884,2025-08-09,FLT0073787,Mobile App,Confirmed,2199.08,USD
BK00000067,CUS0045261,2025-10-17,FLT0057773,Mobile App,Confirmed,4033.21,USD
BK00000068,CUS0021138,2025-10-04,FLT0076632,Airport Kiosk,Confirmed,394.56,EUR
BK00000069,CUS0059088,2025-09-24,FLT0047271,Travel Agent,Confirmed,363.0,GBP
BK00000070,CUS0031252,2026-02-05,FLT0026694,Call Center,Confirmed,2134.25,EUR
BK00000071,CUS0018830,2026-02-11,FLT0033311,Airport Kiosk,Confirmed,679.07,USD
