ticket_id,customer_id,booking_id,issue_type,opened_date,status,priority
SUP000001,CUS0039579,,Website/App Issue,2024-09-29,In Progress,Medium
SUP000002,CUS0021249,BK00033871,Flight Delay Complaint,2025-04-07,Closed,High
SUP000003,CUS0044656,BK00014080,Baggage Complaint,2024-05-12,In Progress,Low
SUP000004,CUS0027033,BK00064489,Loyalty Points Issue,2024-02-12,Resolved,Low
SUP000005,CUS0047966,,Loyalty Points Issue,2024-07-08,Resolved,Medium
SUP000006,CUS0037865,,Booking Issue,2026-07-24,Closed,Medium
SUP000007,CUS0032254,BK00123609,Website/App Issue,2024-05-30,Resolved,Medium
SUP000008,CUS0027163,,Refund Request,2026-06-12,In Progress,High
SUP000009,CUS0009906,BK00006422,Booking Issue,2024-05-26,Closed,Low
SUP000010,CUS0037644,BK00109436,Loyalty Points Issue,2026-05-19,Open,Medium
SUP000011,CUS0004935,BK00020705,Seat Change Request,2024-06-21,Resolved,High
SUP000012,CUS0001808,,Flight Delay Complaint,2026-02-23,Open,Low
SUP000013,CUS0048798,BK00082285,Website/App Issue,2024-02-27,Closed,Low
SUP000014,CUS0044434,BK00079450,Website/App Issue,2026-07-06,In Progress,Low
SUP000015,CUS0043300,,Website/App Issue,2025-10-18,Resolved,Medium
SUP000016,CUS0010862,BK00110579,Booking Issue,2025-01-12,Closed,High
SUP000017,CUS0030180,,Loyalty Points Issue,2025-02-16,Closed,Low
SUP000018,CUS0008090,,General Inquiry,2024-03-03,Closed,Medium
SUP000019,CUS0038575,BK00137027,General Inquiry,2025-10-11,Closed,Medium
SUP000020,CUS0003408,,General Inquiry,2026-03-30,Closed,Urgent
SUP000021,CUS0003616,BK00130071,General Inquiry,2024-05-26,Closed,Low
SUP000022,CUS0052927,BK00050611,Website/App Issue,2026-01-09,Resolved,Low
SUP000023,CUS0004473,BK00084235,Flight Delay Complaint,2025-11-28,Resolved,Low
SUP000024,CUS0011312,BK00092830,Booking Issue,2026-01-13,Resolved,High
SUP000025,CUS0050291,BK00068727,Seat Change Request,2025-03-01,Closed,Low
SUP000026,CUS0039858,BK00099066,Flight Delay Complaint,2026-07-27,Closed,Low
SUP000027,CUS0045111,,Booking Issue,2024-08-16,Closed,High
SUP000028,CUS0024669,BK00083554,General Inquiry,2025-03-24,Resolved,Medium
SUP000029,CUS0055697,BK00031354,Seat Change Request,2025-12-15,Closed,Urgent
SUP000030,CUS0042125,BK00037181,General Inquiry,2024-01-05,Closed,Low
SUP000031,CUS0055804,BK00021552,Baggage Complaint,2025-12-17,Resolved,High
SUP000032,CUS0042517,BK00130261,Flight Delay Complaint,2026-04-19,Closed,Low
SUP000033,CUS0008381,,Loyalty Points Issue,2025-09-02,Open,Medium
SUP000034,CUS0000652,BK00140566,Seat Change Request,2024-12-29,Resolved,Medium
SUP000035,CUS0016298,,Website/App Issue,2024-02-25,Closed,Medium
SUP000036,CUS0052723,,Baggage Complaint,2025-09-26,In Progress,Medium
