cancellation_id,flight_id,cancellation_reason,cancelled_at
CXL000001,FLT0000051,Air Traffic Control,2025-10-22 11:15:00
CXL000002,FLT0000056,Airport Closure,2025-12-15 15:45:00
CXL000003,FLT0000096,Airport Closure,2025-09-30 17:45:00
CXL000004,FLT0000106,Air Traffic Control,2025-07-31 11:00:00
CXL000005,FLT0000144,Air Traffic Control,2026-04-12 18:15:00
CXL000006,FLT0000152,Low Booking Demand,2026-05-02 05:00:00
CXL000007,FLT0000174,Crew Shortage,2025-12-21 19:00:00
CXL000008,FLT0000178,Mechanical Issue,2026-04-25 19:00:00
CXL000009,FLT0000182,Low Booking Demand,2025-08-17 19:15:00
CXL000010,FLT0000184,Mechanical Issue,2025-12-26 15:30:00
CXL000011,FLT0000202,Mechanical Issue,2026-03-06 06:00:00
CXL000012,FLT0000206,Airport Closure,2025-10-31 00:00:00
CXL000013,FLT0000230,Low Booking Demand,2026-01-20 14:30:00
CXL000014,FLT0000257,Low Booking Demand,2025-12-06 15:30:00
CXL000015,FLT0000267,Mechanical Issue,2026-05-07 15:00:00
CXL000016,FLT0000277,Severe Weather,2026-01-09 00:30:00
CXL000017,FLT0000280,Mechanical Issue,2026-02-12 03:45:00
CXL000018,FLT0000282,Airport Closure,2025-11-17 12:45:00
CXL000019,FLT0000306,Air Traffic Control,2025-10-11 22:45:00
CXL000020,FLT0000310,Severe Weather,2026-04-22 08:30:00
CXL000021,FLT0000453,Mechanical Issue,2026-04-25 17:45:00
CXL000022,FLT0000476,Severe Weather,2026-04-25 03:00:00
CXL000023,FLT0000518,Mechanical Issue,2026-07-19 09:30:00
CXL000024,FLT0000555,Air Traffic Control,2025-10-20 02:00:00
CXL000025,FLT0000556,Crew Shortage,2026-05-10 01:15:00
CXL000026,FLT0000588,Air Traffic Control,2026-03-22 10:15:00
CXL000027,FLT0000612,Severe Weather,2026-05-15 19:30:00
CXL000028,FLT0000620,Low Booking Demand,2026-07-08 11:30:00
CXL000029,FLT0000643,Mechanical Issue,2026-06-30 02:15:00
CXL000030,FLT0000646,Air Traffic Control,2026-01-19 23:30:00
CXL000031,FLT0000664,Low Booking Demand,2026-03-22 04:45:00
CXL000032,FLT0000671,Low Booking Demand,2026-01-23 23:30:00
CXL000033,FLT0000680,Severe Weather,2026-04-24 05:45:00
CXL000034,FLT0000708,Severe Weather,2025-08-14 16:00:00
CXL000035,FLT0000724,Severe Weather,2026-03-06 14:00:00
CXL000036,FLT0000738,Mechanical Issue,2026-04-21 06:15:00
CXL000037,FLT0000746,Airport Closure,2026-05-29 10:30:00
CXL000038,FLT0000754,Crew Shortage,2025-10-08 13:45:00
CXL000039,FLT0000768,Low Booking Demand,2026-06-15 12:45:00
CXL000040,FLT0000783,Low Booking Demand,2026-06-17 00:30:00
CXL000041,FLT0000795,Airport Closure,2026-07-04 10:15:00
CXL000042,FLT0000804,Air Traffic Control,2026-05-21 19:15:00
CXL000043,FLT0000818,Airport Closure,2026-01-10 22:30:00
CXL000044,FLT0000819,Air Traffic Control,2026-05-10 02:15:00
CXL000045,FLT0000822,Airport Closure,2026-03-14 22:45:00
CXL000046,FLT0000833,Mechanical Issue,2026-03-27 19:00:00
CXL000047,FLT0000834,Mechanical Issue,2025-11-21 17:30:00
CXL000048,FLT0000879,Airport Closure,2026-06-15 15:30:00
CXL000049,FLT0000901,Low Booking Demand,2026-02-14 08:00:00
CXL000050,FLT0000928,Crew Shortage,2025-11-26 04:15:00
CXL000051,FLT0000937,Airport Closure,2025-09-30 17:00:00
CXL000052,FLT0000945,Mechanical Issue,2025-10-29 21:00:00
CXL000053,FLT0000961,Low Booking Demand,2026-05-19 04:15:00
CXL000054,FLT0000977,Air Traffic Control,2026-05-03 19:15:00
CXL000055,FLT0000987,Crew Shortage,2026-05-05 05:45:00
CXL000056,FLT0001014,Airport Closure,2025-12-06 19:45:00
CXL000057,FLT0001040,Severe Weather,2025-11-18 11:45:00
