delay_id,flight_id,delay_minutes,delay_reason
DLY000001,FLT0000002,238,Airport Operations
DLY000002,FLT0000006,54,Airport Operations
DLY000003,FLT0000019,75,Mechanical Issue
DLY000004,FLT0000028,76,Crew Availability
DLY000005,FLT0000052,221,Air Traffic Control
DLY000006,FLT0000070,146,Security
DLY000007,FLT0000075,59,Weather
DLY000008,FLT0000091,32,Weather
DLY000009,FLT0000094,164,Weather
DLY000010,FLT0000142,90,Mechanical Issue
DLY000011,FLT0000157,153,Mechanical Issue
DLY000012,FLT0000166,217,Security
DLY000013,FLT0000207,127,Security
DLY000014,FLT0000208,195,Air Traffic Control
DLY000015,FLT0000211,93,Late Aircraft Arrival
DLY000016,FLT0000218,16,Airport Operations
DLY000017,FLT0000232,25,Airport Operations
DLY000018,FLT0000254,18,Late Aircraft Arrival
DLY000019,FLT0000270,96,Mechanical Issue
DLY000020,FLT0000279,35,Weather
DLY000021,FLT0000283,31,Crew Availability
DLY000022,FLT0000295,23,Mechanical Issue
DLY000023,FLT0000303,115,Weather
DLY000024,FLT0000323,170,Weather
DLY000025,FLT0000331,107,Mechanical Issue
DLY000026,FLT0000340,49,Security
DLY000027,FLT0000346,172,Mechanical Issue
DLY000028,FLT0000357,46,Security
DLY000029,FLT0000361,225,Security
DLY000030,FLT0000376,126,Mechanical Issue
DLY000031,FLT0000379,101,Airport Operations
DLY000032,FLT0000398,110,Late Aircraft Arrival
DLY000033,FLT0000407,142,Air Traffic Control
DLY000034,FLT0000410,69,Air Traffic Control
DLY000035,FLT0000412,60,Late Aircraft Arrival
DLY000036,FLT0000417,84,Mechanical Issue
DLY000037,FLT0000421,231,Late Aircraft Arrival
DLY000038,FLT0000422,86,Weather
DLY000039,FLT0000430,193,Airport Operations
DLY000040,FLT0000443,62,Late Aircraft Arrival
DLY000041,FLT0000450,87,Mechanical Issue
DLY000042,FLT0000457,128,Late Aircraft Arrival
DLY000043,FLT0000463,102,Air Traffic Control
DLY000044,FLT0000520,43,Security
DLY000045,FLT0000521,186,Crew Availability
DLY000046,FLT0000524,176,Air Traffic Control
DLY000047,FLT0000541,92,Weather
DLY000048,FLT0000544,102,Security
DLY000049,FLT0000545,50,Air Traffic Control
DLY000050,FLT0000546,91,Security
DLY000051,FLT0000551,147,Crew Availability
DLY000052,FLT0000554,204,Weather
DLY000053,FLT0000567,111,Airport Operations
DLY000054,FLT0000596,96,Late Aircraft Arrival
DLY000055,FLT0000597,157,Airport Operations
DLY000056,FLT0000603,44,Airport Operations
DLY000057,FLT0000609,94,Weather
DLY000058,FLT0000623,177,Airport Operations
DLY000059,FLT0000638,184,Security
DLY000060,FLT0000651,206,Crew Availability
DLY000061,FLT0000652,19,Late Aircraft Arrival
DLY000062,FLT0000668,16,Airport Operations
DLY000063,FLT0000681,167,Security
DLY000064,FLT0000682,188,Weather
DLY000065,FLT0000685,136,Mechanical Issue
DLY000066,FLT0000691,211,Weather
DLY000067,FLT0000703,63,Crew Availability
DLY000068,FLT0000722,79,Mechanical Issue
DLY000069,FLT0000733,211,Crew Availability
DLY000070,FLT0000736,150,Air Traffic Control
DLY000071,FLT0000739,111,Weather
DLY000072,FLT0000742,116,Crew Availability
DLY000073,FLT0000744,46,Crew Availability
DLY000074,FLT0000748,187,Airport Operations
DLY000075,FLT0000766,44,Air Traffic Control
DLY000076,FLT0000769,109,Security
DLY000077,FLT0000772,36,Crew Availability
DLY000078,FLT0000779,175,Crew Availability
DLY000079,FLT0000781,107,Security
DLY000080,FLT0000784,122,Airport Operations
DLY000081,FLT0000790,197,Air Traffic Control
DLY000082,FLT0000793,76,Security
DLY000083,FLT0000797,187,Security
DLY000084,FLT0000800,230,Weather
DLY000085,FLT0000811,32,Airport Operations
DLY000086,FLT0000817,146,Late Aircraft Arrival
DLY000087,FLT0000836,229,Late Aircraft Arrival
DLY000088,FLT0000838,82,Crew Availability
DLY000089,FLT0000846,62,Air Traffic Control
DLY000090,FLT0000850,169,Late Aircraft Arrival
DLY000091,FLT0000852,178,Weather
DLY000092,FLT0000858,177,Airport Operations
DLY000093,FLT0000861,183,Late Aircraft Arrival
DLY000094,FLT0000868,238,Mechanical Issue
DLY000095,FLT0000870,145,Crew Availability
DLY000096,FLT0000876,113,Mechanical Issue
DLY000097,FLT0000878,141,Mechanical Issue
DLY000098,FLT0000887,179,Security
DLY000099,FLT0000888,231,Air Traffic Control
DLY000100,FLT0000898,23,Weather
DLY000101,FLT0000902,227,Crew Availability
DLY000102,FLT0000909,129,Air Traffic Control
DLY000103,FLT0000914,185,Air Traffic Control
DLY000104,FLT0000919,165,Late Aircraft Arrival
