route_id,origin_airport_id,destination_airport_id,distance_km,typical_duration_min
RT00001,APT00200,APT00216,7335,584
RT00002,APT00201,APT00107,10784,834
RT00003,APT00015,APT00235,12227,944
RT00004,APT00079,APT00060,6046,466
RT00005,APT00236,APT00215,9869,776
RT00006,APT00089,APT00132,7201,558
RT00007,APT00062,APT00237,11227,869
RT00008,APT00160,APT00054,2843,227
RT00009,APT00049,APT00065,10261,806
RT00010,APT00036,APT00144,8416,650
RT00011,APT00201,APT00141,6429,514
RT00012,APT00029,APT00037,5304,429
RT00013,APT00224,APT00165,9883,767
RT00014,APT00062,APT00102,4994,387
RT00015,APT00027,APT00037,654,67
RT00016,APT00187,APT00130,13285,1024
RT00017,APT00045,APT00177,6380,504
RT00018,APT00092,APT00008,2474,212
RT00019,APT00088,APT00231,3314,265
RT00020,APT00128,APT00156,11653,899
RT00021,APT00119,APT00065,4776,370
RT00022,APT00049,APT00190,4084,330
RT00023,APT00059,APT00212,6924,531
RT00024,APT00049,APT00240,595,73
RT00025,APT00014,APT00199,7931,621
RT00026,APT00165,APT00051,758,91
RT00027,APT00118,APT00040,11731,902
RT00028,APT00027,APT00052,6122,473
RT00029,APT00082,APT00220,3211,257
RT00030,APT00169,APT00076,6471,519
RT00031,APT00071,APT00082,2622,234
RT00032,APT00101,APT00224,4619,357
RT00033,APT00188,APT00051,2004,180
RT00034,APT00170,APT00103,9429,731
RT00035,APT00177,APT00074,13670,1042
RT00036,APT00096,APT00075,6897,542
RT00037,APT00122,APT00152,1560,155
RT00038,APT00213,APT00187,1222,106
RT00039,APT00219,APT00066,11683,911
RT00040,APT00014,APT00010,5003,387
RT00041,APT00211,APT00163,4286,352
RT00042,APT00224,APT00139,1607,132
RT00043,APT00236,APT00167,9359,712
RT00044,APT00067,APT00113,1068,91
RT00045,APT00127,APT00196,12677,984
RT00046,APT00011,APT00159,3074,257
RT00047,APT00027,APT00191,1152,116
RT00048,APT00144,APT00185,9867,754
RT00049,APT00052,APT00126,5087,418
RT00050,APT00056,APT00081,9804,769
RT00051,APT00074,APT00149,749,80
RT00052,APT00116,APT00162,12087,942
RT00053,APT00038,APT00146,4474,349
RT00054,APT00202,APT00133,10638,815
RT00055,APT00170,APT00086,13112,994
RT00056,APT00200,APT00033,7589,583
RT00057,APT00232,APT00108,4809,395
RT00058,APT00153,APT00222,4514,360
RT00059,APT00091,APT00181,9671,754
RT00060,APT00245,APT00191,280,57
RT00061,APT00145,APT00186,2227,199
RT00062,APT00117,APT00231,9130,705
RT00063,APT00105,APT00057,554,61
RT00064,APT00010,APT00182,4198,327
RT00065,APT00240,APT00017,9137,719
RT00066,APT00206,APT00061,3651,312
RT00067,APT00177,APT00008,13044,1003
RT00068,APT00055,APT00109,13652,1047
RT00069,APT00233,APT00035,663,84
RT00070,APT00045,APT00097,2604,215
RT00071,APT00060,APT00033,12722,976
RT00072,APT00018,APT00009,647,84
RT00073,APT00072,APT00120,6915,539
RT00074,APT00082,APT00104,13301,1034
RT00075,APT00200,APT00105,8321,638
RT00076,APT00081,APT00087,4422,355
RT00077,APT00240,APT00103,287,45
RT00078,APT00075,APT00001,5629,441
RT00079,APT00133,APT00120,7678,613
RT00080,APT00151,APT00213,1316,122
RT00081,APT00209,APT00035,7489,597
RT00082,APT00190,APT00036,5776,449
RT00083,APT00218,APT00197,4696,372
RT00084,APT00235,APT00127,13616,1045
RT00085,APT00029,APT00064,12532,965
RT00086,APT00023,APT00198,9777,749
RT00087,APT00113,APT00081,8353,645
RT00088,APT00037,APT00154,6738,533
RT00089,APT00125,APT00142,1170,105
RT00090,APT00150,APT00042,4443,365
RT00091,APT00069,APT00191,343,49
RT00092,APT00024,APT00157,5251,432
RT00093,APT00242,APT00052,6736,522
RT00094,APT00093,APT00191,8634,682
RT00095,APT00211,APT00158,5098,406
RT00096,APT00159,APT00215,3711,290
RT00097,APT00168,APT00207,9998,780
RT00098,APT00197,APT00079,2296,188
RT00099,APT00066,APT00235,1930,158
RT00100,APT00055,APT00009,9807,760
RT00101,APT00250,APT00083,8284,654
RT00102,APT00169,APT00155,12198,931
RT00103,APT00073,APT00136,10397,807
RT00104,APT00164,APT00057,12641,958
RT00105,APT00099,APT00050,9368,717
RT00106,APT00216,APT00197,11811,917
RT00107,APT00130,APT00220,2534,200
RT00108,APT00078,APT00172,7522,584
RT00109,APT00175,APT00135,13234,1017
RT00110,APT00190,APT00195,11085,842
RT00111,APT00093,APT00060,5762,471
RT00112,APT00190,APT00243,12983,998
RT00113,APT00059,APT00031,4512,358
RT00114,APT00060,APT00149,522,78
RT00115,APT00208,APT00086,11192,865
RT00116,APT00158,APT00227,5886,471
RT00117,APT00009,APT00061,673,62
RT00118,APT00171,APT00163,3016,240
RT00119,APT00076,APT00039,1193,100
RT00120,APT00068,APT00046,13955,1071
RT00121,APT00107,APT00105,11898,927
RT00122,APT00114,APT00202,13028,1014
