loyalty_id,customer_id,tier,points_balance,enrollment_date,status
LOY0000001,CUS0002243,Gold,58633,2024-01-27,Expired
LOY0000002,CUS0050988,Silver,124363,2015-12-04,Suspended
LOY0000003,CUS0048962,Silver,190841,2025-01-07,Active
LOY0000004,CUS0037663,Platinum,184535,2019-11-11,Suspended
LOY0000005,CUS0035996,Platinum,1087,2020-05-16,Active
LOY0000006,CUS0040284,Silver,246095,2024-07-14,Active
LOY0000007,CUS0012324,Platinum,205537,2016-08-28,Expired
LOY0000008,CUS0039833,Blue,223858,2024-02-20,Expired
LOY0000009,CUS0057516,Blue,108639,2023-10-24,Active
LOY0000010,CUS0012064,Silver,104021,2025-01-03,Active
LOY0000011,CUS0004749,Platinum,139882,2016-03-20,Expired
LOY0000012,CUS0056484,Gold,126339,2025-07-22,Expired
LOY0000013,CUS0006959,Gold,186626,2020-05-13,Suspended
LOY0000014,CUS0056337,Silver,193973,2018-11-15,Expired
LOY0000015,CUS0025920,Silver,109666,2026-05-19,Active
LOY0000016,CUS0019469,Silver,130343,2017-09-20,Active
LOY0000017,CUS0033040,Platinum,131281,2024-01-03,Active
LOY0000018,CUS0005169,Blue,94471,2025-08-16,Active
LOY0000019,CUS0030407,Platinum,24555,2024-07-11,Active
LOY0000020,CUS0046378,Gold,201862,2019-01-18,Active
LOY0000021,CUS0016615,Silver,72557,2025-05-05,Active
LOY0000022,CUS0041540,Platinum,225840,2017-03-24,Active
LOY0000023,CUS0037845,Gold,236560,2020-07-21,Active
LOY0000024,CUS0029402,Silver,103507,2022-06-06,Active
LOY0000025,CUS0038005,Silver,96146,2024-12-04,Active
LOY0000026,CUS0035981,Platinum,148545,2020-04-06,Suspended
LOY0000027,CUS0049878,Silver,149190,2016-05-05,Active
LOY0000028,CUS0015668,Silver,85820,2020-08-26,Active
LOY0000029,CUS0007036,Silver,203791,2021-04-08,Active
LOY0000030,CUS0020255,Blue,192064,2017-01-03,Expired
LOY0000031,CUS0044544,Silver,239269,2019-02-13,Suspended
LOY0000032,CUS0018590,Blue,233336,2016-02-03,Suspended
LOY0000033,CUS0021637,Platinum,32651,2019-03-02,Active
LOY0000034,CUS0047040,Silver,219321,2015-02-06,Active
LOY0000035,CUS0010571,Gold,10726,2026-07-01,Active
LOY0000036,CUS0049556,Gold,4813,2023-02-12,Active
LOY0000037,CUS0004701,Gold,233995,2023-05-25,Active
LOY0000038,CUS0034650,Gold,70326,2026-06-03,Expired
LOY0000039,CUS0032185,Blue,76331,2023-10-30,Expired
LOY0000040,CUS0023854,Blue,241107,2019-09-08,Active
LOY0000041,CUS0048710,Blue,88245,2023-07-06,Expired
LOY0000042,CUS0045555,Gold,25584,2025-11-05,Suspended
LOY0000043,CUS0036788,Gold,64752,2015-02-27,Active
LOY0000044,CUS0005703,Gold,18806,2023-11-19,Active
LOY0000045,CUS0025196,Blue,14197,2020-10-22,Active
LOY0000046,CUS0055421,Silver,86199,2021-07-27,Active
LOY0000047,CUS0009443,Silver,2541,2018-11-25,Active
LOY0000048,CUS0059275,Silver,238960,2023-08-16,Active
LOY0000049,CUS0035519,Silver,53589,2020-04-07,Suspended
LOY0000050,CUS0045107,Silver,176328,2019-12-18,Expired
LOY0000051,CUS0031774,Gold,249324,2024-04-09,Expired
