payment_id,booking_id,payment_date,amount,payment_method,payment_status
PAY00000001,BK00000001,2025-06-26 08:00:00,1914.89,Debit Card,Completed
PAY00000002,BK00000002,2025-12-01 19:00:00,2686.77,PayPal,Completed
PAY00000003,BK00000003,2025-07-08 14:00:00,1146.69,PayPal,Completed
PAY00000004,BK00000004,2026-07-01 11:00:00,1576.36,PayPal,Completed
PAY00000005,BK00000005,2025-06-01 08:00:00,4151.2,Debit Card,Completed
PAY00000006,BK00000006,2025-08-08 10:00:00,4450.26,Gift Card,Completed
PAY00000007,BK00000007,2025-05-14 07:00:00,3043.86,Bank Transfer,Completed
PAY00000008,BK00000008,2025-08-01 02:00:00,3916.73,Credit Card,Completed
PAY00000009,BK00000009,2025-08-16 16:00:00,4319.35,Credit Card,Completed
PAY00000010,BK00000010,2025-11-27 13:00:00,4030.9,Gift Card,Completed
PAY00000011,BK00000011,2026-03-14 08:00:00,1169.27,PayPal,Completed
PAY00000012,BK00000012,2026-02-16 05:00:00,759.17,Credit Card,Completed
PAY00000013,BK00000013,2025-10-22 21:00:00,3488.42,Bank Transfer,Completed
PAY00000014,BK00000014,2025-12-26 11:00:00,2484.13,Debit Card,Completed
PAY00000015,BK00000015,2025-09-11 10:00:00,4358.59,PayPal,Completed
PAY00000016,BK00000016,2026-02-19 16:00:00,493.28,Bank Transfer,Completed
PAY00000017,BK00000017,2025-12-11 12:00:00,355.4,Gift Card,Completed
PAY00000018,BK00000018,2025-12-22 11:00:00,1155.83,Bank Transfer,Completed
PAY00000019,BK00000019,2026-03-29 02:00:00,528.27,Bank Transfer,Completed
PAY00000020,BK00000020,2026-07-31 08:00:00,3188.62,Credit Card,Completed
PAY00000021,BK00000021,2025-08-30 03:00:00,4263.04,Credit Card,Completed
PAY00000022,BK00000022,2026-05-03 00:00:00,3338.11,Debit Card,Completed
PAY00000023,BK00000023,2025-11-12 21:00:00,4350.49,PayPal,Completed
PAY00000024,BK00000024,2025-12-22 02:00:00,4081.97,Bank Transfer,Completed
PAY00000025,BK00000025,2025-12-09 20:00:00,85.99,Gift Card,Completed
PAY00000026,BK00000026,2025-10-31 04:00:00,3168.01,Gift Card,Completed
PAY00000027,BK00000027,2025-12-31 14:00:00,2698.94,Bank Transfer,Completed
PAY00000028,BK00000028,2025-10-28 16:00:00,1277.41,Debit Card,Completed
PAY00000029,BK00000029,2025-12-27 09:00:00,3822.91,Bank Transfer,Completed
PAY00000030,BK00000030,2025-09-26 21:00:00,2325.56,Debit Card,Completed
PAY00000031,BK00000031,2025-09-11 03:00:00,2009.4,Bank Transfer,Completed
PAY00000032,BK00000032,2025-07-07 11:00:00,2379.73,Debit Card,Completed
PAY00000033,BK00000033,2025-10-05 08:00:00,4260.97,Debit Card,Completed
PAY00000034,BK00000034,2025-08-16 10:00:00,2373.16,Gift Card,Completed
PAY00000035,BK00000035,2026-02-02 20:00:00,3759.2,Gift Card,Completed
PAY00000036,BK00000036,2026-04-27 21:00:00,3189.29,Bank Transfer,Completed
PAY00000037,BK00000037,2025-04-11 09:00:00,4400.56,Debit Card,Completed
PAY00000038,BK00000038,2026-03-15 20:00:00,1773.23,Bank Transfer,Completed
PAY00000039,BK00000039,2025-12-30 07:00:00,2468.55,Bank Transfer,Completed
PAY00000040,BK00000040,2026-05-18 07:00:00,3730.81,Debit Card,Completed
PAY00000041,BK00000041,2025-07-18 18:00:00,3030.53,Gift Card,Completed
PAY00000042,BK00000042,2026-06-15 15:00:00,2672.96,Bank Transfer,Completed
PAY00000043,BK00000043,2025-07-28 14:00:00,4360.88,PayPal,Completed
PAY00000044,BK00000044,2025-07-23 05:00:00,275.2,Credit Card,Completed
PAY00000045,BK00000045,2026-02-18 01:00:00,4283.04,Debit Card,Completed
PAY00000046,BK00000046,2025-09-10 07:00:00,1580.21,Gift Card,Completed
PAY00000047,BK00000047,2026-01-07 05:00:00,2149.62,Gift Card,Voided
PAY00000048,BK00000048,2025-07-31 21:00:00,2166.77,PayPal,Completed
PAY00000049,BK00000049,2026-01-19 08:00:00,3311.76,PayPal,Completed
PAY00000050,BK00000050,2025-09-14 06:00:00,1203.25,Bank Transfer,Completed
PAY00000051,BK00000051,2025-10-01 08:00:00,3960.42,Bank Transfer,Completed
