ticket_id,passenger_id,booking_id,flight_id,fare_class,ticket_price,ticket_status
TKT00000001,PAX00000001,BK00000001,FLT0021533,Economy,137.95,Issued
TKT00000002,PAX00000002,BK00000002,FLT0020583,Economy,466.17,Issued
TKT00000003,PAX00000003,BK00000002,FLT0020583,Economy,312.53,Issued
TKT00000004,PAX00000004,BK00000003,FLT0038067,Economy,492.72,Issued
TKT00000005,PAX00000005,BK00000003,FLT0038067,Business,1072.77,Issued
TKT00000006,PAX00000006,BK00000003,FLT0038067,Economy,430.14,Issued
TKT00000007,PAX00000007,BK00000003,FLT0038067,Premium Economy,870.66,Issued
TKT00000008,PAX00000008,BK00000004,FLT0057722,Economy,524.31,Issued
TKT00000009,PAX00000009,BK00000004,FLT0057722,Economy,547.24,Issued
TKT00000010,PAX00000010,BK00000005,FLT0018791,Premium Economy,478.84,Issued
TKT00000011,PAX00000011,BK00000006,FLT0061254,Economy,95.4,Issued
TKT00000012,PAX00000012,BK00000007,FLT0073427,Economy,100.04,Issued
TKT00000013,PAX00000013,BK00000007,FLT0073427,Economy,411.14,Issued
TKT00000014,PAX00000014,BK00000007,FLT0073427,Economy,481.92,Issued
TKT00000015,PAX00000015,BK00000008,FLT0019960,Economy,124.13,Issued
TKT00000016,PAX00000016,BK00000009,FLT0036847,Business,1048.35,Issued
TKT00000017,PAX00000017,BK00000010,FLT0047345,Business,2720.17,Issued
TKT00000018,PAX00000018,BK00000010,FLT0047345,Premium Economy,623.76,Issued
TKT00000019,PAX00000019,BK00000011,FLT0032530,Economy,436.03,Issued
TKT00000020,PAX00000020,BK00000011,FLT0032530,Business,2544.31,Issued
TKT00000021,PAX00000021,BK00000012,FLT0055658,Economy,579.38,Issued
TKT00000022,PAX00000022,BK00000012,FLT0055658,Business,2993.02,Issued
TKT00000023,PAX00000023,BK00000013,FLT0030110,Economy,244.8,Issued
TKT00000024,PAX00000024,BK00000014,FLT0031669,First,6369.56,Issued
TKT00000025,PAX00000025,BK00000015,FLT0059081,Economy,353.2,Issued
TKT00000026,PAX00000026,BK00000016,FLT0020271,Economy,433.87,Issued
TKT00000027,PAX00000027,BK00000016,FLT0020271,Economy,178.06,Issued
TKT00000028,PAX00000028,BK00000017,FLT0043889,Business,3232.3,Issued
TKT00000029,PAX00000029,BK00000017,FLT0043889,Economy,466.85,Issued
TKT00000030,PAX00000030,BK00000017,FLT0043889,Economy,536.03,Issued
TKT00000031,PAX00000031,BK00000018,FLT0037379,Premium Economy,785.42,Issued
TKT00000032,PAX00000032,BK00000018,FLT0037379,Economy,476.58,Issued
TKT00000033,PAX00000033,BK00000019,FLT0072337,Economy,351.42,Issued
TKT00000034,PAX00000034,BK00000020,FLT0051267,First,4092.21,Issued
TKT00000035,PAX00000035,BK00000021,FLT0073667,Economy,420.37,Issued
TKT00000036,PAX00000036,BK00000022,FLT0026304,Economy,262.19,Issued
TKT00000037,PAX00000037,BK00000022,FLT0026304,Economy,141.65,Issued
TKT00000038,PAX00000038,BK00000023,FLT0040786,Economy,259.42,Issued
TKT00000039,PAX00000039,BK00000023,FLT0040786,Economy,206.98,Issued
TKT00000040,PAX00000040,BK00000024,FLT0035047,Economy,364.16,Issued
TKT00000041,PAX00000041,BK00000024,FLT0035047,Economy,391.9,Issued
TKT00000042,PAX00000042,BK00000024,FLT0035047,Economy,240.53,Issued
TKT00000043,PAX00000043,BK00000024,FLT0035047,Economy,437.03,Issued
TKT00000044,PAX00000044,BK00000025,FLT0056560,Economy,437.6,Issued
TKT00000045,PAX00000045,BK00000025,FLT0056560,Economy,281.33,Issued
TKT00000046,PAX00000046,BK00000025,FLT0056560,Economy,335.07,Issued
TKT00000047,PAX00000047,BK00000025,FLT0056560,Economy,555.47,Issued
TKT00000048,PAX00000048,BK00000026,FLT0079227,Economy,511.96,Issued
TKT00000049,PAX00000049,BK00000027,FLT0068680,Business,2816.65,Issued
TKT00000050,PAX00000050,BK00000027,FLT0068680,Business,2771.95,Issued
TKT00000051,PAX00000051,BK00000027,FLT0068680,Business,1059.84,Issued
TKT00000052,PAX00000052,BK00000028,FLT0029197,Premium Economy,817.2,Issued
TKT00000053,PAX00000053,BK00000029,FLT0029480,Economy,483.08,Cancelled
TKT00000054,PAX00000054,BK00000030,FLT0005555,Economy,524.68,Issued
TKT00000055,PAX00000055,BK00000031,FLT0047570,Premium Economy,585.53,Issued
TKT00000056,PAX00000056,BK00000031,FLT0047570,Economy,107.76,Issued
TKT00000057,PAX00000057,BK00000031,FLT0047570,Economy,419.09,Issued
TKT00000058,PAX00000058,BK00000032,FLT0004028,Economy,553.54,Issued
TKT00000059,PAX00000059,BK00000033,FLT0035645,Economy,585.6,Issued
TKT00000060,PAX00000060,BK00000034,FLT0079311,Business,1698.08,Issued
TKT00000061,PAX00000061,BK00000035,FLT0066089,Economy,84.4,Issued
TKT00000062,PAX00000062,BK00000035,FLT0066089,Economy,222.42,Issued
TKT00000063,PAX00000063,BK00000036,FLT0060216,Business,1822.94,Issued
TKT00000064,PAX00000064,BK00000037,FLT0007488,Economy,433.18,Issued
TKT00000065,PAX00000065,BK00000037,FLT0007488,Economy,103.35,Issued
TKT00000066,PAX00000066,BK00000037,FLT0007488,Economy,597.01,Issued
TKT00000067,PAX00000067,BK00000037,FLT0007488,Economy,558.47,Issued
TKT00000068,PAX00000068,BK00000038,FLT0037926,Economy,320.36,Issued
TKT00000069,PAX00000069,BK00000038,FLT0037926,Economy,584.4,Issued
TKT00000070,PAX00000070,BK00000039,FLT0019750,Premium Economy,932.03,Issued
TKT00000071,PAX00000071,BK00000040,FLT0003856,Economy,220.06,Issued
TKT00000072,PAX00000072,BK00000040,FLT0003856,Economy,581.85,Issued
TKT00000073,PAX00000073,BK00000041,FLT0056837,Economy,538.95,Issued
TKT00000074,PAX00000074,BK00000041,FLT0056837,Economy,473.08,Issued
TKT00000075,PAX00000075,BK00000042,FLT0064879,Premium Economy,1134.69,Issued
TKT00000076,PAX00000076,BK00000042,FLT0064879,Economy,322.38,Issued
TKT00000077,PAX00000077,BK00000042,FLT0064879,Economy,473.94,Issued
TKT00000078,PAX00000078,BK00000043,FLT0014008,Economy,188.83,Issued
TKT00000079,PAX00000079,BK00000043,FLT0014008,Economy,254.0,Issued
TKT00000080,PAX00000080,BK00000044,FLT0029583,Economy,366.09,Issued
TKT00000081,PAX00000081,BK00000044,FLT0029583,Economy,417.53,Issued
TKT00000082,PAX00000082,BK00000044,FLT0029583,First,3177.59,Issued
TKT00000083,PAX00000083,BK00000044,FLT0029583,Economy,143.83,Issued
TKT00000084,PAX00000084,BK00000045,FLT0044225,Economy,245.45,Cancelled
TKT00000085,PAX00000085,BK00000046,FLT0053660,Economy,584.26,Issued
TKT00000086,PAX00000086,BK00000046,FLT0053660,Economy,162.22,Issued
TKT00000087,PAX00000087,BK00000047,FLT0036748,Economy,410.57,Cancelled
TKT00000088,PAX00000088,BK00000048,FLT0026298,Economy,563.08,Issued
TKT00000089,PAX00000089,BK00000048,FLT0026298,Economy,492.44,Issued
TKT00000090,PAX00000090,BK00000048,FLT0026298,Economy,344.32,Issued
TKT00000091,PAX00000091,BK00000049,FLT0004726,Premium Economy,880.13,Issued
TKT00000092,PAX00000092,BK00000050,FLT0034827,Economy,501.02,Issued
TKT00000093,PAX00000093,BK00000050,FLT0034827,Economy,547.33,Issued
TKT00000094,PAX00000094,BK00000051,FLT0043952,Premium Economy,316.47,Issued
TKT00000095,PAX00000095,BK00000052,FLT0057827,Business,1628.58,Issued
TKT00000096,PAX00000096,BK00000052,FLT0057827,Economy,217.35,Issued
TKT00000097,PAX00000097,BK00000053,FLT0066713,Economy,396.18,Issued
TKT00000098,PAX00000098,BK00000053,FLT0066713,Premium Economy,1022.07,Issued
TKT00000099,PAX00000099,BK00000053,FLT0066713,Premium Economy,704.48,Issued
TKT00000100,PAX00000100,BK00000054,FLT0015120,Economy,267.36,Issued
TKT00000101,PAX00000101,BK00000054,FLT0015120,Economy,253.28,Issued
TKT00000102,PAX00000102,BK00000054,FLT0015120,Economy,270.66,Issued
TKT00000103,PAX00000103,BK00000055,FLT0010870,Premium Economy,334.28,Issued
TKT00000104,PAX00000104,BK00000055,FLT0010870,Economy,457.68,Issued
TKT00000105,PAX00000105,BK00000055,FLT0010870,Economy,453.14,Issued
TKT00000106,PAX00000106,BK00000055,FLT0010870,Economy,356.39,Issued
TKT00000107,PAX00000107,BK00000056,FLT0021461,Economy,307.33,Cancelled
TKT00000108,PAX00000108,BK00000057,FLT0028936,Premium Economy,977.12,Issued
TKT00000109,PAX00000109,BK00000057,FLT0028936,Premium Economy,1111.25,Issued
TKT00000110,PAX00000110,BK00000057,FLT0028936,Economy,265.16,Issued
TKT00000111,PAX00000111,BK00000058,FLT0055328,Business,1530.76,Issued
TKT00000112,PAX00000112,BK00000058,FLT0055328,Economy,326.64,Issued
TKT00000113,PAX00000113,BK00000059,FLT0059044,Economy,355.95,Issued
TKT00000114,PAX00000114,BK00000060,FLT0075377,Economy,336.94,Refunded
TKT00000115,PAX00000115,BK00000060,FLT0075377,Economy,96.86,Refunded
TKT00000116,PAX00000116,BK00000061,FLT0062128,Economy,400.01,Issued
TKT00000117,PAX00000117,BK00000061,FLT0062128,Economy,533.97,Issued
TKT00000118,PAX00000118,BK00000062,FLT0045884,Economy,592.23,Issued
TKT00000119,PAX00000119,BK00000062,FLT0045884,Economy,341.97,Issued
TKT00000120,PAX00000120,BK00000063,FLT0076866,Economy,298.31,Issued
TKT00000121,PAX00000121,BK00000064,FLT0026529,Economy,468.1,Issued
TKT00000122,PAX00000122,BK00000065,FLT0027582,Economy,564.5,Issued
TKT00000123,PAX00000123,BK00000066,FLT0073787,Economy,169.66,Issued
TKT00000124,PAX00000124,BK00000066,FLT0073787,Economy,538.78,Issued
TKT00000125,PAX00000125,BK00000066,FLT0073787,Economy,373.08,Issued
TKT00000126,PAX00000126,BK00000067,FLT0057773,Economy,291.06,Issued
TKT00000127,PAX00000127,BK00000067,FLT0057773,Economy,117.83,Issued
TKT00000128,PAX00000128,BK00000068,FLT0076632,Economy,577.27,Issued
TKT00000129,PAX00000129,BK00000069,FLT0047271,First,6705.05,Issued
TKT00000130,PAX00000130,BK00000069,FLT0047271,Economy,437.42,Issued
TKT00000131,PAX00000131,BK00000069,FLT0047271,Economy,460.0,Issued
TKT00000132,PAX00000132,BK00000070,FLT0026694,Economy,320.34,Issued
TKT00000133,PAX00000133,BK00000071,FLT0033311,Economy,171.72,Issued
TKT00000134,PAX00000134,BK00000071,FLT0033311,First,2721.44,Issued
