aircraft_id,tail_number,model_id,airline_id,manufacture_year,status
ACFT00001,N5830U,AM0005,AL0011,2008,Retired
ACFT00002,N2948B,AM0022,AL0016,2025,Active
ACFT00003,N6442Z,AM0025,AL0002,2020,Active
ACFT00004,N3840X,AM0019,AL0019,2004,Active
ACFT00005,N1288Y,AM0003,AL0008,2018,Retired
ACFT00006,N4737N,AM0021,AL0010,2006,Active
ACFT00007,N0442J,AM0018,AL0013,2007,In Maintenance
ACFT00008,N5017J,AM0014,AL0013,2005,Retired
ACFT00009,N6554M,AM0004,AL0001,2017,Active
ACFT00010,N8926Z,AM0025,AL0018,2005,Active
ACFT00011,N0749P,AM0012,AL0013,2015,Active
ACFT00012,N8119N,AM0002,AL0020,2014,Active
ACFT00013,N5128H,AM0006,AL0010,2019,Retired
ACFT00014,N5321Y,AM0011,AL0013,2025,Retired
ACFT00015,N9135K,AM0002,AL0009,1998,Active
ACFT00016,N7203Q,AM0009,AL0018,2025,Retired
ACFT00017,N1800N,AM0012,AL0017,2001,Active
ACFT00018,N5220R,AM0024,AL0019,2012,In Maintenance
ACFT00019,N3139G,AM0003,AL0011,2007,Active
ACFT00020,N8212H,AM0015,AL0016,2015,Active
ACFT00021,N1537M,AM0023,AL0008,2018,Active
ACFT00022,N4417C,AM0021,AL0010,2022,Active
ACFT00023,N7974H,AM0024,AL0016,2009,Active
ACFT00024,N8247Y,AM0005,AL0002,2024,Active
ACFT00025,N9081Q,AM0021,AL0015,2007,Active
ACFT00026,N9693H,AM0025,AL0001,2003,Active
ACFT00027,N3364T,AM0009,AL0012,2008,Retired
ACFT00028,N4315X,AM0013,AL0010,2012,Active
ACFT00029,N8247Q,AM0014,AL0010,2016,Active
ACFT00030,N0501R,AM0013,AL0010,2021,Active
ACFT00031,N1356L,AM0008,AL0010,2004,Retired
ACFT00032,N0798T,AM0025,AL0009,2006,Active
ACFT00033,N4841W,AM0024,AL0010,2024,Retired
ACFT00034,N3938N,AM0010,AL0012,2010,In Maintenance
ACFT00035,N4280M,AM0021,AL0016,2004,In Maintenance
ACFT00036,N3526K,AM0010,AL0012,2025,Active
ACFT00037,N1162H,AM0020,AL0013,2010,Active
ACFT00038,N6332J,AM0015,AL0017,2025,Active
ACFT00039,N6597A,AM0012,AL0020,2023,Retired
ACFT00040,N3252Z,AM0004,AL0003,2023,In Maintenance
ACFT00041,N2519X,AM0017,AL0015,2014,In Maintenance
ACFT00042,N7307L,AM0009,AL0005,2020,Retired
ACFT00043,N9659V,AM0006,AL0004,2024,Active
ACFT00044,N4004P,AM0005,AL0016,2005,Active
ACFT00045,N0177A,AM0025,AL0002,1999,Retired
ACFT00046,N5078W,AM0003,AL0017,2006,Active
ACFT00047,N5696L,AM0020,AL0016,2015,Active
ACFT00048,N7585W,AM0022,AL0020,2013,Active
ACFT00049,N0005T,AM0001,AL0014,2000,Retired
ACFT00050,N2187R,AM0015,AL0018,2013,Active
ACFT00051,N4401X,AM0015,AL0003,2002,Active
ACFT00052,N3773E,AM0009,AL0018,2012,In Maintenance
ACFT00053,N6048T,AM0017,AL0004,2014,Active
ACFT00054,N7012H,AM0011,AL0007,2015,Active
ACFT00055,N1917Q,AM0011,AL0003,2009,Retired
ACFT00056,N6236H,AM0011,AL0009,2009,Active
ACFT00057,N6007Q,AM0021,AL0015,2017,In Maintenance
ACFT00058,N0809T,AM0016,AL0006,2018,Active
ACFT00059,N9937F,AM0010,AL0017,2020,Active
ACFT00060,N4248L,AM0024,AL0013,2007,Active
ACFT00061,N0375P,AM0021,AL0013,2009,In Maintenance
ACFT00062,N4256X,AM0024,AL0019,2007,Active
ACFT00063,N6980K,AM0019,AL0009,2012,Active
ACFT00064,N3017J,AM0010,AL0007,2001,Active
ACFT00065,N1221C,AM0020,AL0020,2010,Active
ACFT00066,N7846Y,AM0009,AL0012,2003,Retired
ACFT00067,N8090A,AM0007,AL0013,2012,In Maintenance
ACFT00068,N4702G,AM0012,AL0006,2021,In Maintenance
ACFT00069,N3932C,AM0025,AL0005,2025,Active
ACFT00070,N1154M,AM0015,AL0004,2010,Active
ACFT00071,N8513H,AM0010,AL0005,1999,In Maintenance
ACFT00072,N8317L,AM0012,AL0004,2004,Active
ACFT00073,N0628V,AM0008,AL0015,2000,Active
ACFT00074,N3556B,AM0017,AL0002,2019,In Maintenance
ACFT00075,N3160N,AM0009,AL0013,2025,In Maintenance
ACFT00076,N7920T,AM0014,AL0019,2013,Active
ACFT00077,N0098S,AM0010,AL0016,2002,In Maintenance
ACFT00078,N8003A,AM0009,AL0009,1998,Active
ACFT00079,N8058T,AM0025,AL0002,2025,Active
ACFT00080,N2457L,AM0009,AL0017,2006,In Maintenance
ACFT00081,N2784A,AM0002,AL0001,2001,Retired
ACFT00082,N5894D,AM0010,AL0014,2002,Active
ACFT00083,N5890G,AM0014,AL0014,2005,Active
ACFT00084,N4081R,AM0003,AL0004,2016,Active
ACFT00085,N9672V,AM0008,AL0015,2022,Active
ACFT00086,N4033N,AM0005,AL0004,2005,Active
ACFT00087,N2443S,AM0013,AL0005,2017,Active
ACFT00088,N3728J,AM0019,AL0017,1999,Active
ACFT00089,N0188F,AM0025,AL0020,1998,Active
ACFT00090,N6514S,AM0010,AL0006,1999,Active
ACFT00091,N9802L,AM0022,AL0019,2023,In Maintenance
ACFT00092,N1501B,AM0006,AL0019,2014,Retired
ACFT00093,N2719G,AM0020,AL0016,2020,Active
ACFT00094,N0371B,AM0015,AL0003,1998,Active
ACFT00095,N8537W,AM0019,AL0006,1998,Active
ACFT00096,N3503Q,AM0019,AL0014,2021,Active
ACFT00097,N1992K,AM0014,AL0020,2000,Retired
ACFT00098,N1513P,AM0007,AL0017,2002,In Maintenance
ACFT00099,N6527S,AM0014,AL0009,2012,Active
ACFT00100,N7483V,AM0021,AL0005,2014,Active
ACFT00101,N2255T,AM0025,AL0020,2004,Active
ACFT00102,N2835Y,AM0024,AL0006,2010,Active
ACFT00103,N5699M,AM0005,AL0007,2016,In Maintenance
ACFT00104,N4159M,AM0015,AL0020,2010,Active
ACFT00105,N3132Z,AM0003,AL0012,2008,Active
ACFT00106,N5108Y,AM0017,AL0006,2000,In Maintenance
ACFT00107,N7101U,AM0025,AL0001,2010,Retired
ACFT00108,N7801X,AM0002,AL0009,2020,Active
ACFT00109,N9710B,AM0017,AL0020,2015,Retired
ACFT00110,N6862U,AM0024,AL0009,2023,In Maintenance
ACFT00111,N0887X,AM0022,AL0014,2001,In Maintenance
ACFT00112,N5439S,AM0010,AL0006,1998,Retired
ACFT00113,N1905E,AM0003,AL0016,2013,Active
ACFT00114,N6446U,AM0024,AL0016,2003,In Maintenance
ACFT00115,N3941A,AM0024,AL0013,2014,Retired
ACFT00116,N2653M,AM0015,AL0016,2023,Retired
ACFT00117,N8500M,AM0025,AL0012,2007,Active
ACFT00118,N4857Q,AM0001,AL0008,2013,In Maintenance
ACFT00119,N3667E,AM0016,AL0015,2017,Retired
ACFT00120,N6277Q,AM0001,AL0017,2002,Retired
ACFT00121,N9506U,AM0024,AL0017,2023,Retired
ACFT00122,N1128N,AM0018,AL0005,2003,Retired
ACFT00123,N9856H,AM0023,AL0014,2020,Active
ACFT00124,N0351F,AM0015,AL0001,2016,In Maintenance
ACFT00125,N0788K,AM0003,AL0012,2001,Active
ACFT00126,N5952J,AM0001,AL0012,2018,Retired
ACFT00127,N7488A,AM0009,AL0008,2003,Retired
ACFT00128,N7352J,AM0019,AL0020,2014,Retired
ACFT00129,N3071K,AM0004,AL0018,2024,Active
ACFT00130,N1139Y,AM0022,AL0001,2024,Active
ACFT00131,N3592Y,AM0006,AL0005,2022,Active
ACFT00132,N1230V,AM0013,AL0005,2011,In Maintenance
ACFT00133,N8387V,AM0006,AL0018,2013,Active
ACFT00134,N8519Q,AM0012,AL0011,2006,Active
ACFT00135,N9914E,AM0012,AL0015,2023,In Maintenance
ACFT00136,N0999X,AM0001,AL0017,2011,Retired
ACFT00137,N6595R,AM0015,AL0016,2019,Active
ACFT00138,N2786M,AM0020,AL0002,2008,Active
ACFT00139,N1066U,AM0024,AL0003,2018,In Maintenance
ACFT00140,N9487G,AM0009,AL0008,2004,Retired
ACFT00141,N8059R,AM0023,AL0007,2018,In Maintenance
ACFT00142,N9057R,AM0022,AL0015,1999,In Maintenance
ACFT00143,N8464W,AM0025,AL0004,2000,Retired
ACFT00144,N1207F,AM0010,AL0008,2007,Retired
ACFT00145,N3831A,AM0022,AL0005,2011,In Maintenance
ACFT00146,N2959F,AM0015,AL0004,2017,Active
ACFT00147,N3135V,AM0002,AL0004,2008,Active
ACFT00148,N3762X,AM0007,AL0004,1998,In Maintenance
ACFT00149,N4199B,AM0017,AL0012,2007,Active
ACFT00150,N9982R,AM0005,AL0009,2010,In Maintenance
ACFT00151,N5666N,AM0011,AL0009,2013,Active
ACFT00152,N6500Y,AM0020,AL0010,2016,Retired
ACFT00153,N9517D,AM0004,AL0015,2004,Active
ACFT00154,N3308N,AM0013,AL0018,2015,Retired
ACFT00155,N3504N,AM0006,AL0011,2015,Active
ACFT00156,N3821N,AM0014,AL0013,2019,Active
ACFT00157,N8309L,AM0007,AL0015,2012,In Maintenance
ACFT00158,N1639H,AM0025,AL0014,2020,Active
ACFT00159,N5524C,AM0002,AL0003,2004,Retired
ACFT00160,N6793G,AM0025,AL0020,2017,Active
ACFT00161,N5690F,AM0020,AL0004,1999,In Maintenance
ACFT00162,N2248A,AM0022,AL0009,2000,Retired
ACFT00163,N8666C,AM0022,AL0014,2022,Active
ACFT00164,N7256Q,AM0005,AL0009,2011,Active
ACFT00165,N3340T,AM0024,AL0005,2015,Active
ACFT00166,N0460Z,AM0015,AL0019,2014,In Maintenance
ACFT00167,N3065R,AM0025,AL0002,2017,Retired
ACFT00168,N7483P,AM0022,AL0005,2004,In Maintenance
ACFT00169,N1626V,AM0015,AL0020,2002,In Maintenance
ACFT00170,N8911Y,AM0010,AL0015,1999,Active
ACFT00171,N3028J,AM0003,AL0002,2022,In Maintenance
ACFT00172,N0713A,AM0003,AL0016,2004,Active
ACFT00173,N6483E,AM0010,AL0020,2014,Active
ACFT00174,N1240K,AM0021,AL0002,2010,Active
ACFT00175,N8768U,AM0013,AL0009,2002,Active
ACFT00176,N6818H,AM0013,AL0010,2009,Retired
ACFT00177,N7940J,AM0007,AL0003,2000,Retired
ACFT00178,N4995Y,AM0015,AL0005,2002,Active
ACFT00179,N4486N,AM0016,AL0004,2001,Active
ACFT00180,N4774A,AM0025,AL0004,2021,Active
ACFT00181,N1146V,AM0019,AL0009,2013,Active
ACFT00182,N2760J,AM0016,AL0010,2023,In Maintenance
ACFT00183,N3898N,AM0023,AL0005,2010,Active
ACFT00184,N4370G,AM0011,AL0006,2003,Active
ACFT00185,N1421K,AM0024,AL0004,2015,Retired
ACFT00186,N8589X,AM0010,AL0016,2024,Retired
ACFT00187,N3899J,AM0004,AL0005,2012,In Maintenance
ACFT00188,N2599P,AM0011,AL0019,1998,Active
ACFT00189,N1475J,AM0004,AL0011,2006,Active
ACFT00190,N3026F,AM0003,AL0017,2023,Active
ACFT00191,N9054V,AM0023,AL0013,2012,Retired
ACFT00192,N8566N,AM0020,AL0006,2024,Active
ACFT00193,N1424Q,AM0006,AL0013,2012,In Maintenance
ACFT00194,N2283E,AM0021,AL0006,1998,Active
ACFT00195,N7787Z,AM0002,AL0003,2022,In Maintenance
ACFT00196,N5282G,AM0008,AL0006,2019,Active
ACFT00197,N8837Y,AM0018,AL0006,2018,Active
ACFT00198,N7061W,AM0008,AL0003,2025,In Maintenance
ACFT00199,N0914F,AM0019,AL0001,2003,In Maintenance
ACFT00200,N8370L,AM0022,AL0019,2023,Active
ACFT00201,N9923K,AM0002,AL0011,2004,Active
ACFT00202,N5517F,AM0001,AL0009,2025,Active
ACFT00203,N3863X,AM0024,AL0019,2003,Active
ACFT00204,N3521M,AM0014,AL0005,2013,Active
ACFT00205,N5838Q,AM0013,AL0009,2020,Active
ACFT00206,N0753M,AM0012,AL0017,2000,Active
ACFT00207,N3654G,AM0011,AL0013,1999,Active
ACFT00208,N3443P,AM0018,AL0008,2021,Retired
ACFT00209,N2514U,AM0015,AL0006,1999,Active
ACFT00210,N8670J,AM0005,AL0001,2015,Active
ACFT00211,N6858G,AM0016,AL0002,2024,Active
ACFT00212,N1056G,AM0017,AL0004,2015,Retired
ACFT00213,N7732T,AM0003,AL0016,2011,Active
ACFT00214,N6124N,AM0010,AL0013,2009,Active
ACFT00215,N1933B,AM0020,AL0009,2015,Active
ACFT00216,N8294W,AM0016,AL0016,2014,Active
ACFT00217,N1188P,AM0004,AL0004,2012,Active
ACFT00218,N0939W,AM0002,AL0005,2002,Active
ACFT00219,N8665A,AM0015,AL0008,2016,Retired
ACFT00220,N3785T,AM0012,AL0019,2018,Active
ACFT00221,N0458H,AM0025,AL0013,2017,Active
ACFT00222,N2315R,AM0014,AL0018,2000,In Maintenance
ACFT00223,N8902H,AM0024,AL0005,2017,Retired
ACFT00224,N2810W,AM0006,AL0017,2018,Active
ACFT00225,N9235N,AM0012,AL0002,2003,Active
ACFT00226,N9404P,AM0004,AL0005,2021,Active
ACFT00227,N5598G,AM0015,AL0011,2012,Active
ACFT00228,N3644E,AM0005,AL0002,2011,In Maintenance
ACFT00229,N2787H,AM0013,AL0018,2018,Active
ACFT00230,N1135X,AM0009,AL0018,2012,In Maintenance
ACFT00231,N8072E,AM0005,AL0011,2013,In Maintenance
ACFT00232,N5035G,AM0003,AL0007,2006,Retired
ACFT00233,N5471B,AM0013,AL0002,2023,Active
ACFT00234,N5270P,AM0024,AL0013,2025,Retired
ACFT00235,N9038N,AM0005,AL0011,2001,Active
ACFT00236,N1278J,AM0011,AL0016,2018,In Maintenance
ACFT00237,N4712U,AM0006,AL0013,1998,In Maintenance
ACFT00238,N1749A,AM0021,AL0003,2008,Retired
ACFT00239,N9207N,AM0011,AL0003,2025,Active
ACFT00240,N8105X,AM0025,AL0016,2002,In Maintenance
ACFT00241,N4798N,AM0007,AL0004,2008,Active
ACFT00242,N6565N,AM0003,AL0019,2004,Active
ACFT00243,N4679Q,AM0015,AL0003,2018,Active
ACFT00244,N1530B,AM0017,AL0015,2010,In Maintenance
ACFT00245,N5954C,AM0025,AL0020,2014,In Maintenance
ACFT00246,N6088Z,AM0022,AL0009,2024,Active
ACFT00247,N2127F,AM0023,AL0002,2012,Retired
ACFT00248,N8102U,AM0016,AL0018,2018,In Maintenance
ACFT00249,N6366P,AM0009,AL0004,2000,Active
ACFT00250,N5125D,AM0011,AL0011,2004,Retired
ACFT00251,N4171C,AM0004,AL0020,2024,In Maintenance
ACFT00252,N6233F,AM0011,AL0015,2022,Active
ACFT00253,N7626T,AM0010,AL0001,2016,Active
ACFT00254,N5594K,AM0001,AL0017,2008,Retired
ACFT00255,N5870M,AM0006,AL0004,2003,Active
ACFT00256,N7298W,AM0014,AL0015,2021,Retired
ACFT00257,N0556W,AM0010,AL0013,2019,Active
ACFT00258,N3567U,AM0025,AL0006,2004,Active
ACFT00259,N3904Q,AM0012,AL0009,2014,Active
ACFT00260,N0456C,AM0024,AL0003,2015,Active
ACFT00261,N2263P,AM0017,AL0020,2011,In Maintenance
ACFT00262,N7719D,AM0002,AL0005,2023,Retired
ACFT00263,N0028E,AM0006,AL0007,2001,Active
ACFT00264,N6404A,AM0018,AL0011,2005,Retired
ACFT00265,N4552U,AM0014,AL0014,2000,Active
ACFT00266,N5241Y,AM0008,AL0011,2017,Active
ACFT00267,N7266Q,AM0014,AL0011,2016,Retired
ACFT00268,N0899Z,AM0023,AL0012,2025,Active
ACFT00269,N9704F,AM0010,AL0018,2013,In Maintenance
ACFT00270,N2885T,AM0002,AL0008,2002,In Maintenance
ACFT00271,N1284P,AM0008,AL0017,2010,Active
ACFT00272,N4287S,AM0024,AL0016,2000,Active
ACFT00273,N3696M,AM0020,AL0020,2016,In Maintenance
ACFT00274,N2536B,AM0021,AL0019,2016,Active
ACFT00275,N1734P,AM0023,AL0016,2022,Active
ACFT00276,N4727F,AM0003,AL0005,2007,Active
ACFT00277,N3582Q,AM0008,AL0016,2006,Retired
ACFT00278,N0077K,AM0002,AL0015,1999,Active
ACFT00279,N6324H,AM0001,AL0006,2009,Active
ACFT00280,N8435U,AM0021,AL0014,2011,Active
ACFT00281,N2946Y,AM0024,AL0006,2019,Active
ACFT00282,N4170L,AM0004,AL0011,2019,In Maintenance
ACFT00283,N9465F,AM0019,AL0016,2001,Active
ACFT00284,N3514K,AM0014,AL0004,2005,In Maintenance
ACFT00285,N8184R,AM0002,AL0007,2012,Active
ACFT00286,N5292A,AM0023,AL0016,2007,In Maintenance
ACFT00287,N7684A,AM0022,AL0010,1998,In Maintenance
ACFT00288,N0429C,AM0015,AL0020,2021,Active
ACFT00289,N8212D,AM0018,AL0001,2018,Active
ACFT00290,N4355A,AM0010,AL0015,2012,Active
ACFT00291,N1110H,AM0020,AL0017,2006,Active
ACFT00292,N5334P,AM0012,AL0019,2021,Active
ACFT00293,N3240M,AM0025,AL0004,1998,Active
ACFT00294,N9317D,AM0002,AL0020,2010,Active
ACFT00295,N1189P,AM0005,AL0008,2020,Active
ACFT00296,N6665Z,AM0025,AL0008,2024,Active
ACFT00297,N7039K,AM0008,AL0008,2005,Active
ACFT00298,N2865L,AM0008,AL0013,2016,Active
ACFT00299,N1349H,AM0020,AL0014,2003,Active
ACFT00300,N1494K,AM0005,AL0010,2001,Active
ACFT00301,N6629Q,AM0013,AL0002,2007,Active
ACFT00302,N0493P,AM0008,AL0020,2022,Active
ACFT00303,N6781N,AM0005,AL0005,2017,Active
ACFT00304,N5161L,AM0025,AL0002,2011,In Maintenance
ACFT00305,N3182G,AM0005,AL0012,2005,In Maintenance
ACFT00306,N8802T,AM0003,AL0009,2001,In Maintenance
ACFT00307,N7950W,AM0017,AL0013,2005,In Maintenance
ACFT00308,N1166B,AM0022,AL0018,2002,Retired
ACFT00309,N1526K,AM0004,AL0002,2003,Active
ACFT00310,N5433S,AM0018,AL0006,2017,In Maintenance
ACFT00311,N5552X,AM0014,AL0011,2001,Retired
ACFT00312,N5789S,AM0021,AL0016,1999,Active
ACFT00313,N7473T,AM0004,AL0013,2013,Retired
ACFT00314,N0926A,AM0025,AL0008,2006,Active
ACFT00315,N1982D,AM0016,AL0013,2010,Retired
