service_id,booking_id,passenger_id,service_type,amount,status
ANC0000001,BK00059771,PAX00110297,Extra Baggage,145.01,Confirmed
ANC0000002,BK00021363,PAX00039487,Extra Baggage,111.11,Cancelled
ANC0000003,BK00127325,PAX00235314,Travel Insurance,51.98,Confirmed
ANC0000004,BK00140510,PAX00259681,Seat Upgrade,118.93,Cancelled
ANC0000005,BK00140510,PAX00259682,Pet Fee,117.59,Cancelled
ANC0000006,BK00144298,PAX00266688,Lounge Access,88.24,Confirmed
ANC0000007,BK00144298,PAX00266688,Lounge Access,37.83,Confirmed
ANC0000008,BK00096371,PAX00178276,Lounge Access,39.78,Confirmed
ANC0000009,BK00096371,PAX00178276,In-flight Meal,34.23,Cancelled
ANC0000010,BK00049743,PAX00091833,Lounge Access,77.29,Confirmed
ANC0000011,BK00049743,PAX00091833,Seat Upgrade,167.36,Cancelled
ANC0000012,BK00047390,PAX00087440,Pet Fee,86.47,Confirmed
ANC0000013,BK00047390,PAX00087440,Seat Upgrade,76.45,Confirmed
ANC0000014,BK00058379,PAX00107692,Seat Upgrade,289.75,Confirmed
ANC0000015,BK00058379,PAX00107691,Lounge Access,76.69,Confirmed
ANC0000016,BK00069048,PAX00127549,Wi-Fi,13.49,Confirmed
ANC0000017,BK00041981,PAX00077480,Travel Insurance,56.12,Confirmed
ANC0000018,BK00088783,PAX00164201,Travel Insurance,19.88,Confirmed
ANC0000019,BK00070772,PAX00130756,Travel Insurance,20.48,Confirmed
ANC0000020,BK00070772,PAX00130757,Lounge Access,81.17,Confirmed
ANC0000021,BK00020217,PAX00037332,Lounge Access,85.64,Confirmed
ANC0000022,BK00080725,PAX00149264,Lounge Access,67.8,Confirmed
ANC0000023,BK00096907,PAX00179294,Lounge Access,79.03,Cancelled
ANC0000024,BK00096907,PAX00179295,Priority Boarding,18.06,Confirmed
ANC0000025,BK00081422,PAX00150538,Priority Boarding,37.24,Confirmed
ANC0000026,BK00081422,PAX00150538,In-flight Meal,14.27,Confirmed
ANC0000027,BK00109510,PAX00202539,Lounge Access,79.7,Cancelled
ANC0000028,BK00109510,PAX00202539,Wi-Fi,14.42,Cancelled
ANC0000029,BK00001877,PAX00003450,Extra Baggage,54.66,Confirmed
ANC0000030,BK00046384,PAX00085589,Travel Insurance,20.58,Confirmed
ANC0000031,BK00007488,PAX00013946,Seat Upgrade,45.66,Confirmed
ANC0000032,BK00018049,PAX00033392,Travel Insurance,40.2,Cancelled
ANC0000033,BK00029282,PAX00054207,In-flight Meal,10.14,Cancelled
ANC0000034,BK00029282,PAX00054206,Pet Fee,101.4,Confirmed
ANC0000035,BK00051011,PAX00094172,Priority Boarding,24.95,Confirmed
ANC0000036,BK00076505,PAX00141374,Pet Fee,85.19,Confirmed
ANC0000037,BK00134481,PAX00248558,Extra Baggage,120.85,Confirmed
ANC0000038,BK00100165,PAX00185305,Seat Upgrade,252.62,Confirmed
ANC0000039,BK00100165,PAX00185305,Extra Baggage,41.65,Cancelled
ANC0000040,BK00025706,PAX00047622,In-flight Meal,12.63,Cancelled
ANC0000041,BK00025706,PAX00047623,Pet Fee,191.98,Confirmed
ANC0000042,BK00096399,PAX00178335,Travel Insurance,37.92,Confirmed
ANC0000043,BK00096399,PAX00178335,Pet Fee,111.6,Confirmed
ANC0000044,BK00033117,PAX00061241,Pet Fee,193.46,Confirmed
