boarding_pass_id,ticket_id,passenger_id,flight_id,seat_number,boarding_time,boarding_group
BP00000001,TKT00000001,PAX00000001,FLT0021533,30H,2025-08-12 11:08:00,D
BP00000002,TKT00000003,PAX00000003,FLT0020583,30E,2026-04-25 11:42:00,D
BP00000003,TKT00000004,PAX00000004,FLT0038067,34F,2025-12-09 13:09:00,C
BP00000004,TKT00000005,PAX00000005,FLT0038067,1D,2025-12-09 13:08:00,C
BP00000005,TKT00000006,PAX00000006,FLT0038067,2B,2025-12-09 13:34:00,B
BP00000006,TKT00000007,PAX00000007,FLT0038067,38G,2025-12-09 13:18:00,B
BP00000007,TKT00000008,PAX00000008,FLT0057722,43F,2026-07-07 08:55:00,C
BP00000008,TKT00000009,PAX00000009,FLT0057722,35K,2026-07-07 08:22:00,A
BP00000009,TKT00000011,PAX00000011,FLT0061254,39H,2025-11-24 22:49:00,B
BP00000010,TKT00000012,PAX00000012,FLT0073427,35E,2025-10-27 19:05:00,C
BP00000011,TKT00000013,PAX00000013,FLT0073427,43C,2025-10-27 19:01:00,B
BP00000012,TKT00000014,PAX00000014,FLT0073427,8K,2025-10-27 19:07:00,B
BP00000013,TKT00000016,PAX00000016,FLT0036847,20E,2026-01-09 19:46:00,B
BP00000014,TKT00000017,PAX00000017,FLT0047345,25H,2026-02-25 17:28:00,C
BP00000015,TKT00000018,PAX00000018,FLT0047345,12J,2026-02-25 17:18:00,C
BP00000016,TKT00000019,PAX00000019,FLT0032530,27J,2026-04-19 01:46:00,B
BP00000017,TKT00000020,PAX00000020,FLT0032530,20G,2026-04-19 01:53:00,B
BP00000018,TKT00000021,PAX00000021,FLT0055658,21D,2026-05-18 05:04:00,C
BP00000019,TKT00000022,PAX00000022,FLT0055658,10G,2026-05-18 05:39:00,A
BP00000020,TKT00000023,PAX00000023,FLT0030110,22A,2026-01-14 05:00:00,A
BP00000021,TKT00000024,PAX00000024,FLT0031669,11D,2026-01-09 01:29:00,B
BP00000022,TKT00000025,PAX00000025,FLT0059081,16C,2025-09-16 19:31:00,B
BP00000023,TKT00000026,PAX00000026,FLT0020271,26C,2026-08-04 07:58:00,A
BP00000024,TKT00000027,PAX00000027,FLT0020271,13D,2026-08-04 08:05:00,C
BP00000025,TKT00000028,PAX00000028,FLT0043889,40H,2026-05-12 14:16:00,B
BP00000026,TKT00000029,PAX00000029,FLT0043889,25G,2026-05-12 14:08:00,A
BP00000027,TKT00000030,PAX00000030,FLT0043889,10B,2026-05-12 13:50:00,C
BP00000028,TKT00000031,PAX00000031,FLT0037379,43K,2026-01-20 03:52:00,D
BP00000029,TKT00000032,PAX00000032,FLT0037379,25G,2026-01-20 04:10:00,A
BP00000030,TKT00000033,PAX00000033,FLT0072337,17E,2026-04-15 02:07:00,B
BP00000031,TKT00000034,PAX00000034,FLT0051267,44F,2026-08-11 08:23:00,A
BP00000032,TKT00000036,PAX00000036,FLT0026304,22A,2026-06-15 13:23:00,A
BP00000033,TKT00000037,PAX00000037,FLT0026304,26G,2026-06-15 13:36:00,B
BP00000034,TKT00000038,PAX00000038,FLT0040786,17G,2026-04-23 23:41:00,A
BP00000035,TKT00000039,PAX00000039,FLT0040786,17B,2026-04-23 23:55:00,A
BP00000036,TKT00000040,PAX00000040,FLT0035047,12B,2026-06-14 14:59:00,C
BP00000037,TKT00000041,PAX00000041,FLT0035047,11J,2026-06-14 14:52:00,B
BP00000038,TKT00000043,PAX00000043,FLT0035047,7F,2026-06-14 14:41:00,B
BP00000039,TKT00000044,PAX00000044,FLT0056560,37K,2026-04-20 01:37:00,C
BP00000040,TKT00000045,PAX00000045,FLT0056560,4A,2026-04-20 01:54:00,D
BP00000041,TKT00000047,PAX00000047,FLT0056560,40H,2026-04-20 01:43:00,D
BP00000042,TKT00000048,PAX00000048,FLT0079227,24F,2025-11-19 03:15:00,A
BP00000043,TKT00000049,PAX00000049,FLT0068680,38C,2026-06-12 05:47:00,A
BP00000044,TKT00000050,PAX00000050,FLT0068680,33A,2026-06-12 06:16:00,D
