checkin_id,ticket_id,passenger_id,flight_id,checkin_time,checkin_method
CHK00000001,TKT00000001,PAX00000001,FLT0021533,2025-08-12 10:11:00,Online
CHK00000002,TKT00000003,PAX00000003,FLT0020583,2026-04-25 08:48:00,Airport Kiosk
CHK00000003,TKT00000004,PAX00000004,FLT0038067,2025-12-09 10:18:00,Online
CHK00000004,TKT00000005,PAX00000005,FLT0038067,2025-12-09 10:28:00,Counter
CHK00000005,TKT00000006,PAX00000006,FLT0038067,2025-12-09 10:38:00,Airport Kiosk
CHK00000006,TKT00000007,PAX00000007,FLT0038067,2025-12-09 12:23:00,Online
CHK00000007,TKT00000008,PAX00000008,FLT0057722,2026-07-07 06:29:00,Airport Kiosk
CHK00000008,TKT00000009,PAX00000009,FLT0057722,2026-07-07 06:17:00,Airport Kiosk
CHK00000009,TKT00000011,PAX00000011,FLT0061254,2025-11-24 20:23:00,Online
CHK00000010,TKT00000012,PAX00000012,FLT0073427,2025-10-27 16:43:00,Online
CHK00000011,TKT00000013,PAX00000013,FLT0073427,2025-10-27 17:42:00,Mobile App
CHK00000012,TKT00000014,PAX00000014,FLT0073427,2025-10-27 16:08:00,Counter
CHK00000013,TKT00000016,PAX00000016,FLT0036847,2026-01-09 18:20:00,Online
CHK00000014,TKT00000017,PAX00000017,FLT0047345,2026-02-25 16:28:00,Airport Kiosk
CHK00000015,TKT00000018,PAX00000018,FLT0047345,2026-02-25 16:48:00,Online
CHK00000016,TKT00000019,PAX00000019,FLT0032530,2026-04-19 00:36:00,Online
CHK00000017,TKT00000020,PAX00000020,FLT0032530,2026-04-19 00:11:00,Online
CHK00000018,TKT00000021,PAX00000021,FLT0055658,2026-05-18 02:08:00,Online
CHK00000019,TKT00000022,PAX00000022,FLT0055658,2026-05-18 03:00:00,Online
CHK00000020,TKT00000023,PAX00000023,FLT0030110,2026-01-14 02:17:00,Online
CHK00000021,TKT00000024,PAX00000024,FLT0031669,2026-01-09 00:16:00,Counter
CHK00000022,TKT00000025,PAX00000025,FLT0059081,2025-09-16 17:14:00,Online
CHK00000023,TKT00000026,PAX00000026,FLT0020271,2026-08-04 06:52:00,Counter
CHK00000024,TKT00000027,PAX00000027,FLT0020271,2026-08-04 05:53:00,Online
