assignment_id,flight_id,crew_id,role_on_flight
CA00000001,FLT0000001,CRW001302,Captain
CA00000002,FLT0000001,CRW000594,First Officer
CA00000003,FLT0000001,CRW001955,Flight Attendant
CA00000004,FLT0000001,CRW000356,Flight Attendant
CA00000005,FLT0000002,CRW001383,Captain
CA00000006,FLT0000002,CRW000714,First Officer
CA00000007,FLT0000002,CRW000293,Flight Attendant
CA00000008,FLT0000002,CRW000221,Flight Attendant
CA00000009,FLT0000003,CRW001199,Captain
CA00000010,FLT0000003,CRW001748,First Officer
CA00000011,FLT0000003,CRW002406,Flight Attendant
CA00000012,FLT0000003,CRW000748,Flight Attendant
CA00000013,FLT0000004,CRW001538,Captain
CA00000014,FLT0000004,CRW001896,First Officer
CA00000015,FLT0000004,CRW001166,Flight Attendant
CA00000016,FLT0000004,CRW001394,Flight Attendant
CA00000017,FLT0000005,CRW001585,Captain
CA00000018,FLT0000005,CRW001039,First Officer
CA00000019,FLT0000005,CRW000673,Flight Attendant
CA00000020,FLT0000005,CRW001979,Flight Attendant
CA00000021,FLT0000006,CRW001868,Captain
CA00000022,FLT0000006,CRW002220,First Officer
CA00000023,FLT0000006,CRW001810,Flight Attendant
CA00000024,FLT0000006,CRW001280,Flight Attendant
CA00000025,FLT0000007,CRW001704,Captain
CA00000026,FLT0000007,CRW000846,First Officer
CA00000027,FLT0000007,CRW000327,Flight Attendant
CA00000028,FLT0000007,CRW001591,Flight Attendant
CA00000029,FLT0000008,CRW002216,Captain
CA00000030,FLT0000008,CRW001809,First Officer
CA00000031,FLT0000008,CRW002127,Flight Attendant
CA00000032,FLT0000008,CRW001977,Flight Attendant
CA00000033,FLT0000009,CRW000775,Captain
CA00000034,FLT0000009,CRW000180,First Officer
CA00000035,FLT0000009,CRW002453,Flight Attendant
CA00000036,FLT0000009,CRW000051,Flight Attendant
CA00000037,FLT0000010,CRW001199,Captain
CA00000038,FLT0000010,CRW000818,First Officer
CA00000039,FLT0000010,CRW002396,Flight Attendant
CA00000040,FLT0000010,CRW001235,Flight Attendant
CA00000041,FLT0000011,CRW000517,Captain
CA00000042,FLT0000011,CRW000701,First Officer
CA00000043,FLT0000011,CRW000524,Flight Attendant
CA00000044,FLT0000011,CRW000793,Flight Attendant
CA00000045,FLT0000012,CRW001217,Captain
CA00000046,FLT0000012,CRW000105,First Officer
CA00000047,FLT0000012,CRW002463,Flight Attendant
CA00000048,FLT0000012,CRW001963,Flight Attendant
CA00000049,FLT0000013,CRW000589,Captain
CA00000050,FLT0000013,CRW001554,First Officer
CA00000051,FLT0000013,CRW002467,Flight Attendant
CA00000052,FLT0000013,CRW002353,Flight Attendant
CA00000053,FLT0000014,CRW002216,Captain
CA00000054,FLT0000014,CRW002319,First Officer
CA00000055,FLT0000014,CRW002304,Flight Attendant
CA00000056,FLT0000014,CRW001192,Flight Attendant
CA00000057,FLT0000015,CRW001444,Captain
CA00000058,FLT0000015,CRW002407,First Officer
CA00000059,FLT0000015,CRW002363,Flight Attendant
CA00000060,FLT0000015,CRW001132,Flight Attendant
CA00000061,FLT0000016,CRW000337,Captain
CA00000062,FLT0000016,CRW001552,First Officer
CA00000063,FLT0000016,CRW000098,Flight Attendant
CA00000064,FLT0000016,CRW002282,Flight Attendant
CA00000065,FLT0000017,CRW000386,Captain
CA00000066,FLT0000017,CRW001155,First Officer
CA00000067,FLT0000017,CRW001149,Flight Attendant
CA00000068,FLT0000017,CRW001915,Flight Attendant
CA00000069,FLT0000018,CRW001334,Captain
CA00000070,FLT0000018,CRW002343,First Officer
CA00000071,FLT0000018,CRW000238,Flight Attendant
CA00000072,FLT0000018,CRW001950,Flight Attendant
CA00000073,FLT0000019,CRW000120,Captain
CA00000074,FLT0000019,CRW000162,First Officer
CA00000075,FLT0000019,CRW002028,Flight Attendant
CA00000076,FLT0000019,CRW001030,Flight Attendant
CA00000077,FLT0000020,CRW001067,Captain
CA00000078,FLT0000020,CRW000941,First Officer
CA00000079,FLT0000020,CRW001816,Flight Attendant
CA00000080,FLT0000020,CRW001083,Flight Attendant
CA00000081,FLT0000021,CRW002213,Captain
CA00000082,FLT0000021,CRW000428,First Officer
CA00000083,FLT0000021,CRW001737,Flight Attendant
CA00000084,FLT0000021,CRW000553,Flight Attendant
CA00000085,FLT0000022,CRW000919,Captain
CA00000086,FLT0000022,CRW001253,First Officer
CA00000087,FLT0000022,CRW000062,Flight Attendant
CA00000088,FLT0000022,CRW002100,Flight Attendant
CA00000089,FLT0000023,CRW001317,Captain
CA00000090,FLT0000023,CRW002478,First Officer
CA00000091,FLT0000023,CRW002146,Flight Attendant
CA00000092,FLT0000023,CRW000745,Flight Attendant
CA00000093,FLT0000024,CRW002271,Captain
CA00000094,FLT0000024,CRW000567,First Officer
CA00000095,FLT0000024,CRW000761,Flight Attendant
CA00000096,FLT0000024,CRW000252,Flight Attendant
CA00000097,FLT0000025,CRW001522,Captain
CA00000098,FLT0000025,CRW002150,First Officer
CA00000099,FLT0000025,CRW000709,Flight Attendant
CA00000100,FLT0000025,CRW001061,Flight Attendant
CA00000101,FLT0000026,CRW000416,Captain
CA00000102,FLT0000026,CRW001631,First Officer
CA00000103,FLT0000026,CRW001998,Flight Attendant
CA00000104,FLT0000026,CRW001693,Flight Attendant
CA00000105,FLT0000027,CRW000631,Captain
CA00000106,FLT0000027,CRW000840,First Officer
CA00000107,FLT0000027,CRW002268,Flight Attendant
CA00000108,FLT0000027,CRW000596,Flight Attendant
CA00000109,FLT0000028,CRW002158,Captain
CA00000110,FLT0000028,CRW000314,First Officer
CA00000111,FLT0000028,CRW001109,Flight Attendant
CA00000112,FLT0000028,CRW000316,Flight Attendant
CA00000113,FLT0000029,CRW000881,Captain
CA00000114,FLT0000029,CRW001011,First Officer
CA00000115,FLT0000029,CRW001101,Flight Attendant
CA00000116,FLT0000029,CRW001052,Flight Attendant
CA00000117,FLT0000030,CRW001001,Captain
CA00000118,FLT0000030,CRW001487,First Officer
CA00000119,FLT0000030,CRW002004,Flight Attendant
CA00000120,FLT0000030,CRW001043,Flight Attendant
CA00000121,FLT0000031,CRW000403,Captain
CA00000122,FLT0000031,CRW000194,First Officer
CA00000123,FLT0000031,CRW000888,Flight Attendant
CA00000124,FLT0000031,CRW000345,Flight Attendant
CA00000125,FLT0000032,CRW000081,Captain
CA00000126,FLT0000032,CRW000669,First Officer
CA00000127,FLT0000032,CRW000706,Flight Attendant
CA00000128,FLT0000032,CRW002358,Flight Attendant
CA00000129,FLT0000033,CRW001106,Captain
CA00000130,FLT0000033,CRW001896,First Officer
CA00000131,FLT0000033,CRW001919,Flight Attendant
CA00000132,FLT0000033,CRW000754,Flight Attendant
CA00000133,FLT0000034,CRW001496,Captain
CA00000134,FLT0000034,CRW001077,First Officer
CA00000135,FLT0000034,CRW001015,Flight Attendant
CA00000136,FLT0000034,CRW000732,Flight Attendant
CA00000137,FLT0000035,CRW002022,Captain
CA00000138,FLT0000035,CRW000105,First Officer
CA00000139,FLT0000035,CRW000280,Flight Attendant
CA00000140,FLT0000035,CRW000148,Flight Attendant
CA00000141,FLT0000036,CRW000729,Captain
CA00000142,FLT0000036,CRW000695,First Officer
CA00000143,FLT0000036,CRW001834,Flight Attendant
CA00000144,FLT0000036,CRW002108,Flight Attendant
CA00000145,FLT0000037,CRW001176,Captain
CA00000146,FLT0000037,CRW000241,First Officer
CA00000147,FLT0000037,CRW001523,Flight Attendant
CA00000148,FLT0000037,CRW000125,Flight Attendant
CA00000149,FLT0000038,CRW001066,Captain
CA00000150,FLT0000038,CRW000516,First Officer
CA00000151,FLT0000038,CRW000665,Flight Attendant
CA00000152,FLT0000038,CRW000280,Flight Attendant
CA00000153,FLT0000039,CRW001201,Captain
CA00000154,FLT0000039,CRW001994,First Officer
CA00000155,FLT0000039,CRW002193,Flight Attendant
CA00000156,FLT0000039,CRW002278,Flight Attendant
CA00000157,FLT0000040,CRW001116,Captain
