feedback_id,customer_id,flight_id,rating,comments,submitted_date
FB000001,CUS0049229,FLT0001874,1,,2025-04-15
FB000002,CUS0058054,FLT0060841,4,Great service!,2024-05-29
FB000003,CUS0014422,FLT0021619,2,Food could be better.,2025-01-11
FB000004,CUS0032390,FLT0041163,2,,2025-07-20
FB000005,CUS0023911,,1,,2025-02-24
FB000006,CUS0049104,,3,,2025-04-13
FB000007,CUS0002862,FLT0073907,4,,2024-01-30
FB000008,CUS0036525,FLT0013733,4,Great service!,2026-03-07
FB000009,CUS0022767,FLT0037465,5,,2025-09-03
FB000010,CUS0005496,,1,Food could be better.,2025-02-24
FB000011,CUS0057801,FLT0064525,1,"Lost my baggage, very disappointed.",2025-09-20
FB000012,CUS0038857,FLT0062846,2,Flight was delayed but staff were helpful.,2025-07-22
FB000013,CUS0054531,FLT0007709,2,"Lost my baggage, very disappointed.",2025-09-30
FB000014,CUS0021938,FLT0047743,5,,2026-01-19
FB000015,CUS0027202,FLT0000230,1,,2024-05-27
FB000016,CUS0000390,,1,"Lost my baggage, very disappointed.",2026-07-03
FB000017,CUS0041273,FLT0033584,5,,2024-05-28
FB000018,CUS0024348,FLT0012566,5,,2024-08-05
FB000019,CUS0011541,,5,Flight was delayed but staff were helpful.,2024-07-20
FB000020,CUS0025876,FLT0067620,4,Great service!,2026-02-09
FB000021,CUS0004342,FLT0077182,5,"Excellent crew, will fly again.",2024-09-03
FB000022,CUS0028022,FLT0078820,1,,2026-04-14
FB000023,CUS0026998,FLT0000602,5,,2025-08-22
FB000024,CUS0020786,FLT0000248,2,Comfortable seats.,2024-01-16
FB000025,CUS0023189,FLT0067313,5,Food could be better.,2025-04-10
FB000026,CUS0052845,FLT0061472,1,Great service!,2026-05-26
FB000027,CUS0053904,,3,Food could be better.,2025-12-30
FB000028,CUS0035639,FLT0019988,5,"Excellent crew, will fly again.",2026-08-01
FB000029,CUS0050201,FLT0042198,2,Comfortable seats.,2026-06-15
FB000030,CUS0046872,FLT0065716,5,,2026-07-05
FB000031,CUS0051809,FLT0060227,3,Flight was delayed but staff were helpful.,2026-01-23
FB000032,CUS0036633,FLT0025702,1,,2025-03-03
FB000033,CUS0044367,FLT0052622,2,,2024-02-11
FB000034,CUS0013758,FLT0030137,2,Comfortable seats.,2026-04-24
FB000035,CUS0049758,FLT0000772,2,"Lost my baggage, very disappointed.",2024-03-24
FB000036,CUS0011705,FLT0023315,3,"Lost my baggage, very disappointed.",2025-09-05
FB000037,CUS0040053,,4,Great service!,2026-05-30
FB000038,CUS0014609,FLT0053046,2,,2025-12-03
FB000039,CUS0012921,FLT0051543,3,,2026-02-08
FB000040,CUS0030846,FLT0071623,3,Flight was delayed but staff were helpful.,2024-05-02
FB000041,CUS0036664,,2,,2025-10-04
FB000042,CUS0038629,FLT0025644,3,,2025-11-14
FB000043,CUS0033491,,3,,2024-05-13
FB000044,CUS0022684,FLT0026396,5,"Excellent crew, will fly again.",2026-07-16
FB000045,CUS0005962,FLT0048173,4,Flight was delayed but staff were helpful.,2025-08-22
FB000046,CUS0042044,FLT0051200,2,"Lost my baggage, very disappointed.",2026-02-01
FB000047,CUS0015591,FLT0042051,3,,2024-12-10
FB000048,CUS0059567,FLT0064952,4,,2025-08-08
FB000049,CUS0042209,FLT0061917,1,"Excellent crew, will fly again.",2025-06-15
FB000050,CUS0044753,FLT0008360,3,,2026-03-05
FB000051,CUS0005100,,1,Great service!,2025-10-01
FB000052,CUS0057278,FLT0025211,5,,2025-05-10
FB000053,CUS0038120,FLT0065095,5,Comfortable seats.,2026-01-09
FB000054,CUS0012223,FLT0048952,4,"Excellent crew, will fly again.",2026-04-06
FB000055,CUS0036603,FLT0023689,3,,2024-09-06
FB000056,CUS0055874,FLT0039005,2,Comfortable seats.,2026-02-14
FB000057,CUS0028154,FLT0068332,4,,2024-02-05
FB000058,CUS0045054,,3,"Excellent crew, will fly again.",2025-07-24
FB000059,CUS0032275,FLT0070810,1,Smooth check-in process.,2025-03-16
FB000060,CUS0006741,FLT0022091,3,Flight was delayed but staff were helpful.,2026-01-05
FB000061,CUS0050531,FLT0010237,1,Smooth check-in process.,2025-03-30
FB000062,CUS0057441,FLT0064971,1,,2025-08-11
FB000063,CUS0006965,FLT0032245,5,Comfortable seats.,2024-02-14
FB000064,CUS0047553,FLT0071285,4,"Lost my baggage, very disappointed.",2025-03-11
FB000065,CUS0048861,FLT0044267,3,Smooth check-in process.,2026-02-07
FB000066,CUS0056810,FLT0042210,2,"Lost my baggage, very disappointed.",2025-10-08
FB000067,CUS0020985,FLT0062470,2,,2025-10-30
FB000068,CUS0041554,,5,"Lost my baggage, very disappointed.",2024-09-15
FB000069,CUS0026248,FLT0014998,3,Food could be better.,2024-06-04
FB000070,CUS0002918,FLT0026542,5,"Lost my baggage, very disappointed.",2024-11-16
FB000071,CUS0004952,FLT0076672,5,Great service!,2025-11-22
FB000072,CUS0010627,,2,Smooth check-in process.,2026-03-10
FB000073,CUS0026415,FLT0069197,4,Flight was delayed but staff were helpful.,2025-04-16
FB000074,CUS0024812,FLT0060191,2,Flight was delayed but staff were helpful.,2025-08-02
FB000075,CUS0057441,,1,Comfortable seats.,2024-11-29
FB000076,CUS0047340,FLT0028142,1,,2025-07-07
FB000077,CUS0032200,FLT0039171,2,Comfortable seats.,2024-12-13
FB000078,CUS0028281,FLT0030490,3,"Excellent crew, will fly again.",2024-02-06
FB000079,CUS0030206,FLT0025567,1,,2024-02-18
FB000080,CUS0050085,FLT0014760,2,,2024-08-22
FB000081,CUS0035296,,2,"Excellent crew, will fly again.",2025-10-07
FB000082,CUS0012869,,2,,2025-06-02
FB000083,CUS0052571,,4,Comfortable seats.,2025-10-12
FB000084,CUS0045498,,5,Flight was delayed but staff were helpful.,2024-12-14
FB000085,CUS0001868,FLT0036634,1,Great service!,2024-10-25
FB000086,CUS0025206,FLT0031390,2,"Excellent crew, will fly again.",2026-04-29
FB000087,CUS0056232,FLT0039861,4,Great service!,2024-05-24
FB000088,CUS0025734,FLT0052085,3,"Excellent crew, will fly again.",2025-02-06
FB000089,CUS0042480,FLT0063105,4,Great service!,2024-09-26
FB000090,CUS0019403,FLT0000143,1,Flight was delayed but staff were helpful.,2024-09-27
FB000091,CUS0018120,FLT0078922,1,Great service!,2024-08-22
FB000092,CUS0001488,,1,,2024-09-27
FB000093,CUS0045290,FLT0051578,5,,2024-03-31
FB000094,CUS0054938,FLT0049718,2,,2025-06-24
FB000095,CUS0028662,FLT0002941,1,Comfortable seats.,2024-03-05
FB000096,CUS0013320,FLT0016832,4,Flight was delayed but staff were helpful.,2024-09-28
FB000097,CUS0007336,FLT0004840,1,,2026-07-29
FB000098,CUS0028236,FLT0058390,2,"Lost my baggage, very disappointed.",2025-07-02
FB000099,CUS0018274,FLT0064281,4,Flight was delayed but staff were helpful.,2026-07-31
FB000100,CUS0037315,FLT0047783,3,"Lost my baggage, very disappointed.",2024-08-24
FB000101,CUS0032608,,5,Food could be better.,2025-10-14
FB000102,CUS0047884,FLT0025906,2,,2025-02-16
FB000103,CUS0027814,FLT0050164,1,"Excellent crew, will fly again.",2026-04-16
FB000104,CUS0028011,,4,"Lost my baggage, very disappointed.",2026-05-17
FB000105,CUS0018958,FLT0019395,5,,2025-01-01
FB000106,CUS0004743,,4,,2026-01-22
FB000107,CUS0058857,FLT0064114,2,,2025-04-10
FB000108,CUS0017912,FLT0004787,3,,2024-05-19
FB000109,CUS0034106,FLT0020736,3,,2024-09-03
FB000110,CUS0019083,FLT0056588,1,Comfortable seats.,2024-03-05
FB000111,CUS0056516,FLT0065138,3,Great service!,2025-06-26
FB000112,CUS0052368,FLT0007119,2,Flight was delayed but staff were helpful.,2026-03-22
FB000113,CUS0008540,FLT0061048,3,,2025-05-01
FB000114,CUS0027596,FLT0014227,1,"Excellent crew, will fly again.",2024-12-07
FB000115,CUS0059146,FLT0041236,2,Flight was delayed but staff were helpful.,2024-01-28
FB000116,CUS0030681,FLT0016778,1,"Excellent crew, will fly again.",2025-06-01
FB000117,CUS0040425,FLT0016212,2,,2026-05-17
FB000118,CUS0033904,FLT0012883,2,,2025-09-16
FB000119,CUS0030949,FLT0000942,4,Flight was delayed but staff were helpful.,2025-06-09
FB000120,CUS0028683,FLT0067482,1,Flight was delayed but staff were helpful.,2024-09-22
FB000121,CUS0047956,FLT0030116,5,Great service!,2025-08-20
FB000122,CUS0017522,FLT0062368,4,,2025-10-12
FB000123,CUS0059078,FLT0079768,5,Comfortable seats.,2024-03-18
FB000124,CUS0013749,FLT0071863,2,"Lost my baggage, very disappointed.",2024-08-17
FB000125,CUS0049823,FLT0011590,4,,2025-02-24
FB000126,CUS0004075,FLT0019891,5,"Excellent crew, will fly again.",2025-03-26
FB000127,CUS0056172,,1,Flight was delayed but staff were helpful.,2024-06-03
FB000128,CUS0012422,FLT0010928,1,Comfortable seats.,2024-12-09
FB000129,CUS0008433,,1,"Excellent crew, will fly again.",2025-08-19
FB000130,CUS0049470,,3,Smooth check-in process.,2026-07-26
FB000131,CUS0044205,FLT0076693,5,,2025-08-25
FB000132,CUS0046972,FLT0048644,3,,2024-01-28
