log_id,flight_id,status,status_time,remarks
LOG00000001,FLT0000001,Scheduled,2026-06-27 10:45:00,
LOG00000002,FLT0000001,Boarding,2026-06-27 11:30:00,
LOG00000003,FLT0000001,Departed,2026-06-27 12:15:00,
LOG00000004,FLT0000001,Arrived,2026-06-27 13:00:00,
LOG00000005,FLT0000002,Scheduled,2025-12-05 16:15:00,
LOG00000006,FLT0000002,Boarding,2025-12-05 17:00:00,
LOG00000007,FLT0000002,Departed,2025-12-05 17:45:00,Delay communicated to passengers
LOG00000008,FLT0000002,Arrived,2025-12-05 18:30:00,
LOG00000009,FLT0000003,Scheduled,2026-04-09 16:45:00,
LOG00000010,FLT0000003,Boarding,2026-04-09 17:30:00,
LOG00000011,FLT0000003,Departed,2026-04-09 18:15:00,
LOG00000012,FLT0000003,Arrived,2026-04-09 19:00:00,
LOG00000013,FLT0000004,Scheduled,2025-12-27 15:00:00,
LOG00000014,FLT0000004,Boarding,2025-12-27 15:45:00,
LOG00000015,FLT0000004,Departed,2025-12-27 16:30:00,
LOG00000016,FLT0000004,Arrived,2025-12-27 17:15:00,
LOG00000017,FLT0000005,Scheduled,2025-10-26 08:45:00,
LOG00000018,FLT0000005,Boarding,2025-10-26 09:30:00,
LOG00000019,FLT0000005,Departed,2025-10-26 10:15:00,
LOG00000020,FLT0000005,Arrived,2025-10-26 11:00:00,
LOG00000021,FLT0000006,Scheduled,2026-07-12 05:45:00,
LOG00000022,FLT0000006,Boarding,2026-07-12 06:30:00,
LOG00000023,FLT0000006,Departed,2026-07-12 07:15:00,Delay communicated to passengers
LOG00000024,FLT0000006,Arrived,2026-07-12 08:00:00,
LOG00000025,FLT0000007,Scheduled,2026-05-22 09:45:00,
LOG00000026,FLT0000007,Boarding,2026-05-22 10:30:00,
LOG00000027,FLT0000007,Departed,2026-05-22 11:15:00,
LOG00000028,FLT0000007,Arrived,2026-05-22 12:00:00,
LOG00000029,FLT0000008,Scheduled,2026-01-31 13:15:00,
LOG00000030,FLT0000008,Boarding,2026-01-31 14:00:00,
LOG00000031,FLT0000008,Departed,2026-01-31 14:45:00,
LOG00000032,FLT0000008,Arrived,2026-01-31 15:30:00,
LOG00000033,FLT0000009,Scheduled,2025-11-22 15:30:00,
LOG00000034,FLT0000009,Boarding,2025-11-22 16:15:00,
LOG00000035,FLT0000009,Departed,2025-11-22 17:00:00,
LOG00000036,FLT0000009,Arrived,2025-11-22 17:45:00,
LOG00000037,FLT0000010,Scheduled,2025-10-22 06:15:00,
LOG00000038,FLT0000010,Boarding,2025-10-22 07:00:00,
LOG00000039,FLT0000010,Departed,2025-10-22 07:45:00,
LOG00000040,FLT0000010,Arrived,2025-10-22 08:30:00,
LOG00000041,FLT0000011,Scheduled,2026-02-03 14:00:00,
LOG00000042,FLT0000011,Boarding,2026-02-03 14:45:00,
LOG00000043,FLT0000011,Departed,2026-02-03 15:30:00,
LOG00000044,FLT0000011,Arrived,2026-02-03 16:15:00,
LOG00000045,FLT0000012,Scheduled,2025-12-11 02:00:00,
LOG00000046,FLT0000012,Boarding,2025-12-11 02:45:00,
LOG00000047,FLT0000012,Departed,2025-12-11 03:30:00,
LOG00000048,FLT0000012,Arrived,2025-12-11 04:15:00,
LOG00000049,FLT0000013,Scheduled,2026-04-04 01:00:00,
LOG00000050,FLT0000013,Boarding,2026-04-04 01:45:00,
LOG00000051,FLT0000013,Departed,2026-04-04 02:30:00,
LOG00000052,FLT0000013,Arrived,2026-04-04 03:15:00,
LOG00000053,FLT0000014,Scheduled,2026-04-03 05:30:00,
LOG00000054,FLT0000014,Boarding,2026-04-03 06:15:00,
LOG00000055,FLT0000014,Departed,2026-04-03 07:00:00,
LOG00000056,FLT0000014,Arrived,2026-04-03 07:45:00,
LOG00000057,FLT0000015,Scheduled,2026-02-28 21:30:00,
LOG00000058,FLT0000015,Boarding,2026-02-28 22:15:00,
LOG00000059,FLT0000015,Departed,2026-02-28 23:00:00,
LOG00000060,FLT0000015,Arrived,2026-02-28 23:45:00,
LOG00000061,FLT0000016,Scheduled,2026-02-21 12:30:00,
LOG00000062,FLT0000016,Boarding,2026-02-21 13:15:00,
LOG00000063,FLT0000016,Departed,2026-02-21 14:00:00,
LOG00000064,FLT0000016,Arrived,2026-02-21 14:45:00,
LOG00000065,FLT0000017,Scheduled,2025-09-04 11:45:00,
LOG00000066,FLT0000017,Boarding,2025-09-04 12:30:00,
LOG00000067,FLT0000017,Departed,2025-09-04 13:15:00,
LOG00000068,FLT0000017,Arrived,2025-09-04 14:00:00,
LOG00000069,FLT0000018,Scheduled,2026-03-12 13:15:00,
LOG00000070,FLT0000018,Boarding,2026-03-12 14:00:00,
LOG00000071,FLT0000018,Departed,2026-03-12 14:45:00,
LOG00000072,FLT0000018,Arrived,2026-03-12 15:30:00,
LOG00000073,FLT0000019,Scheduled,2025-10-05 09:00:00,
LOG00000074,FLT0000019,Boarding,2025-10-05 09:45:00,
LOG00000075,FLT0000019,Departed,2025-10-05 10:30:00,Delay communicated to passengers
LOG00000076,FLT0000019,Arrived,2025-10-05 11:15:00,
LOG00000077,FLT0000020,Scheduled,2026-01-23 00:45:00,
LOG00000078,FLT0000020,Boarding,2026-01-23 01:30:00,
LOG00000079,FLT0000020,Departed,2026-01-23 02:15:00,
LOG00000080,FLT0000020,Arrived,2026-01-23 03:00:00,
LOG00000081,FLT0000021,Scheduled,2026-07-01 21:15:00,
LOG00000082,FLT0000021,Boarding,2026-07-01 22:00:00,
LOG00000083,FLT0000021,Departed,2026-07-01 22:45:00,
