flight_id,schedule_id,flight_date,aircraft_id,airline_id,route_id,scheduled_departure_time,scheduled_arrival_time,origin_airport_id,dest_airport_id,status,actual_departure_time,actual_arrival_time,gate_id
FLT0000001,SCH000744,2026-06-27,ACFT00040,AL0003,RT00302,12:45:00,00:25:00,APT00171,APT00066,Arrived,2026-06-27 12:45:00,2026-06-28 00:25:00,
FLT0000002,SCH001983,2025-12-05,ACFT00363,AL0015,RT00791,18:15:00,11:17:00,APT00200,APT00177,Delayed,2025-12-05 22:13:00,2025-12-06 15:15:00,GATE00512
FLT0000003,SCH001564,2026-04-09,ACFT00231,AL0011,RT00122,18:45:00,11:39:00,APT00114,APT00202,Arrived,2026-04-09 18:45:00,2026-04-10 11:39:00,GATE00086
FLT0000004,SCH000617,2025-12-27,ACFT00040,AL0003,RT00344,17:00:00,09:18:00,APT00069,APT00018,Arrived,2025-12-27 17:00:00,2025-12-28 09:18:00,GATE00182
FLT0000005,SCH001475,2025-10-26,ACFT00037,AL0013,RT00826,10:45:00,17:45:00,APT00134,APT00175,Arrived,2025-10-26 10:45:00,2025-10-26 17:45:00,
FLT0000006,SCH000706,2026-07-12,ACFT00025,AL0015,RT00370,07:45:00,23:26:00,APT00146,APT00198,Delayed,2026-07-12 08:39:00,2026-07-13 00:20:00,GATE00121
FLT0000007,SCH001977,2026-05-22,ACFT00428,AL0003,RT00601,11:45:00,17:43:00,APT00190,APT00120,Arrived,2026-05-22 11:45:00,2026-05-22 17:43:00,GATE00150
FLT0000008,SCH001944,2026-01-31,ACFT00277,AL0016,RT00201,15:15:00,21:32:00,APT00049,APT00245,Arrived,2026-01-31 15:15:00,2026-01-31 21:32:00,
FLT0000009,SCH001777,2025-11-22,ACFT00146,AL0004,RT00488,17:30:00,06:17:00,APT00241,APT00249,Arrived,2025-11-22 17:30:00,2025-11-23 06:17:00,GATE00224
FLT0000010,SCH000641,2025-10-22,ACFT00578,AL0019,RT00061,08:15:00,11:34:00,APT00145,APT00186,Arrived,2025-10-22 08:15:00,2025-10-22 11:34:00,GATE00238
FLT0000011,SCH000643,2026-02-03,ACFT00563,AL0012,RT00246,16:00:00,08:20:00,APT00200,APT00168,Arrived,2026-02-03 16:00:00,2026-02-04 08:20:00,GATE00370
