fuel_id,flight_id,aircraft_id,fuel_liters,fuel_cost
FUEL0000001,FLT0000001,ACFT00040,37410.6,34055.96
FUEL0000002,FLT0000002,ACFT00363,43034.1,39000.86
FUEL0000003,FLT0000003,ACFT00231,44618.0,33761.78
FUEL0000004,FLT0000004,ACFT00040,39335.8,35444.5
FUEL0000005,FLT0000005,ACFT00037,21470.8,22741.91
FUEL0000006,FLT0000006,ACFT00025,42156.3,34333.16
FUEL0000007,FLT0000007,ACFT00428,17247.8,15070.19
FUEL0000008,FLT0000008,ACFT00277,15421.9,12401.49
FUEL0000009,FLT0000009,ACFT00146,36941.7,35580.95
FUEL0000010,FLT0000010,ACFT00578,9193.3,9559.47
FUEL0000011,FLT0000011,ACFT00563,46467.9,48464.6
FUEL0000012,FLT0000012,ACFT00159,46636.4,49571.98
FUEL0000013,FLT0000013,ACFT00534,8342.4,7995.96
FUEL0000014,FLT0000014,ACFT00112,49165.4,46119.85
FUEL0000015,FLT0000015,ACFT00290,50035.4,49660.49
FUEL0000016,FLT0000016,ACFT00361,27640.6,25378.48
FUEL0000017,FLT0000017,ACFT00409,4678.0,4579.22
FUEL0000018,FLT0000018,ACFT00130,35548.3,35264.31
FUEL0000019,FLT0000019,ACFT00583,9745.7,7934.1
FUEL0000020,FLT0000020,ACFT00004,48719.7,52317.62
FUEL0000021,FLT0000021,ACFT00247,29459.2,23387.21
FUEL0000022,FLT0000022,ACFT00501,33557.3,31530.63
FUEL0000023,FLT0000023,ACFT00540,29391.2,23217.75
FUEL0000024,FLT0000024,ACFT00072,29947.4,24106.7
FUEL0000025,FLT0000025,ACFT00503,43512.7,44222.47
FUEL0000026,FLT0000026,ACFT00174,3531.9,3510.25
FUEL0000027,FLT0000027,ACFT00377,15463.5,13113.48
FUEL0000028,FLT0000028,ACFT00167,39613.4,29983.64
FUEL0000029,FLT0000029,ACFT00027,26718.1,23020.71
FUEL0000030,FLT0000030,ACFT00179,52231.2,48223.73
FUEL0000031,FLT0000031,ACFT00194,12027.8,13004.06
FUEL0000032,FLT0000032,ACFT00248,8797.9,8498.61
FUEL0000033,FLT0000033,ACFT00475,45164.6,38625.18
FUEL0000034,FLT0000034,ACFT00505,30960.7,32595.1
FUEL0000035,FLT0000035,ACFT00043,9117.7,7421.8
FUEL0000036,FLT0000036,ACFT00002,8259.7,7849.42
FUEL0000037,FLT0000037,ACFT00530,38315.2,37216.4
FUEL0000038,FLT0000038,ACFT00198,6932.2,5422.47
FUEL0000039,FLT0000039,ACFT00163,28445.9,22896.29
FUEL0000040,FLT0000040,ACFT00393,21615.3,22977.86
FUEL0000041,FLT0000041,ACFT00144,21518.8,17935.63
FUEL0000042,FLT0000042,ACFT00523,19696.2,20548.44
FUEL0000043,FLT0000043,ACFT00320,10954.6,9720.15
FUEL0000044,FLT0000044,ACFT00467,13373.9,10138.93
FUEL0000045,FLT0000045,ACFT00275,27660.3,29184.45
FUEL0000046,FLT0000046,ACFT00599,31618.9,33848.25
FUEL0000047,FLT0000047,ACFT00448,3513.3,2869.54
