gate_id,airport_id,terminal,gate_number,gate_type
GATE00001,APT00090,2,41,Domestic
GATE00002,APT00160,3,40,Domestic
GATE00003,APT00206,2,44,International
GATE00004,APT00057,A,2,Domestic
GATE00005,APT00057,2,26,Domestic
GATE00006,APT00098,D,50,Domestic
GATE00007,APT00090,1,26,International
GATE00008,APT00190,D,9,Domestic
GATE00009,APT00235,1,40,Domestic
GATE00010,APT00039,2,18,International
GATE00011,APT00081,3,31,Domestic
GATE00012,APT00233,E,31,Domestic
GATE00013,APT00152,C,42,International
GATE00014,APT00052,E,55,Domestic
GATE00015,APT00154,D,41,Domestic
GATE00016,APT00220,B,59,International
GATE00017,APT00094,1,2,International
GATE00018,APT00122,A,47,Domestic
GATE00019,APT00156,D,25,Domestic
GATE00020,APT00212,1,44,Domestic
GATE00021,APT00144,3,6,Domestic
GATE00022,APT00240,E,32,Domestic
GATE00023,APT00191,3,2,Domestic
GATE00024,APT00107,2,40,International
GATE00025,APT00122,B,13,Domestic
GATE00026,APT00176,2,9,Domestic
GATE00027,APT00018,C,5,Domestic
GATE00028,APT00057,1,16,Domestic
GATE00029,APT00060,B,57,Domestic
GATE00030,APT00202,E,59,International
GATE00031,APT00207,1,5,Domestic
GATE00032,APT00207,3,58,Domestic
GATE00033,APT00026,3,35,Domestic
GATE00034,APT00074,2,20,International
GATE00035,APT00078,E,56,International
GATE00036,APT00006,3,15,International
GATE00037,APT00064,A,11,International
GATE00038,APT00109,3,14,Domestic
GATE00039,APT00223,B,9,Domestic
GATE00040,APT00042,D,29,International
GATE00041,APT00216,3,9,Domestic
GATE00042,APT00206,1,14,Domestic
GATE00043,APT00039,2,22,International
GATE00044,APT00065,1,39,International
GATE00045,APT00115,E,51,Domestic
GATE00046,APT00237,B,5,International
GATE00047,APT00198,3,38,Domestic
GATE00048,APT00244,1,7,Domestic
GATE00049,APT00078,1,59,Domestic
GATE00050,APT00228,D,17,International
GATE00051,APT00240,3,51,International
GATE00052,APT00153,D,46,Domestic
GATE00053,APT00038,B,20,International
GATE00054,APT00067,B,20,International
GATE00055,APT00032,1,19,Domestic
GATE00056,APT00203,1,28,Domestic
GATE00057,APT00078,B,27,Domestic
GATE00058,APT00178,1,39,Domestic
GATE00059,APT00067,3,28,International
GATE00060,APT00245,E,47,International
GATE00061,APT00195,3,28,International
GATE00062,APT00095,B,19,Domestic
GATE00063,APT00120,D,20,Domestic
GATE00064,APT00015,E,44,Domestic
GATE00065,APT00034,C,9,International
GATE00066,APT00250,A,17,International
GATE00067,APT00206,D,19,International
GATE00068,APT00211,C,39,International
GATE00069,APT00164,B,8,Domestic
GATE00070,APT00056,C,27,International
GATE00071,APT00026,D,40,International
GATE00072,APT00184,3,55,International
GATE00073,APT00082,D,26,International
GATE00074,APT00001,D,58,International
GATE00075,APT00006,D,36,Domestic
GATE00076,APT00143,E,46,Domestic
GATE00077,APT00211,C,15,International
GATE00078,APT00091,2,55,International
GATE00079,APT00250,D,16,International
GATE00080,APT00096,D,9,International
GATE00081,APT00185,A,5,International
GATE00082,APT00061,3,39,International
GATE00083,APT00155,D,38,Domestic
GATE00084,APT00069,B,12,Domestic
GATE00085,APT00196,B,52,Domestic
GATE00086,APT00114,C,17,Domestic
GATE00087,APT00011,2,36,International
GATE00088,APT00062,A,31,Domestic
GATE00089,APT00088,A,35,International
GATE00090,APT00117,E,44,Domestic
GATE00091,APT00067,D,55,Domestic
GATE00092,APT00147,3,43,International
GATE00093,APT00242,2,54,International
GATE00094,APT00180,1,52,International
GATE00095,APT00077,C,22,Domestic
GATE00096,APT00172,1,33,Domestic
GATE00097,APT00242,E,12,International
GATE00098,APT00061,C,55,International
GATE00099,APT00058,C,58,International
GATE00100,APT00010,3,53,International
GATE00101,APT00212,E,44,International
GATE00102,APT00210,D,51,Domestic
GATE00103,APT00104,2,47,Domestic
GATE00104,APT00219,C,14,Domestic
GATE00105,APT00165,B,16,International
GATE00106,APT00245,3,32,Domestic
GATE00107,APT00232,2,25,Domestic
GATE00108,APT00241,D,44,International
GATE00109,APT00098,3,44,International
GATE00110,APT00161,C,58,Domestic
GATE00111,APT00041,1,47,Domestic
GATE00112,APT00225,A,1,International
GATE00113,APT00079,1,21,International
GATE00114,APT00113,B,20,International
GATE00115,APT00152,B,38,Domestic
GATE00116,APT00199,2,21,Domestic
GATE00117,APT00185,B,58,International
GATE00118,APT00240,D,18,International
GATE00119,APT00180,3,26,Domestic
GATE00120,APT00201,3,49,Domestic
GATE00121,APT00146,D,22,International
GATE00122,APT00105,A,3,Domestic
GATE00123,APT00229,C,20,Domestic
GATE00124,APT00095,E,22,International
GATE00125,APT00158,C,37,Domestic
GATE00126,APT00073,1,42,Domestic
GATE00127,APT00121,3,33,International
GATE00128,APT00092,E,24,International
GATE00129,APT00065,E,30,Domestic
GATE00130,APT00207,E,9,International
GATE00131,APT00194,B,11,International
GATE00132,APT00178,E,37,International
GATE00133,APT00021,3,52,International
GATE00134,APT00062,1,31,International
GATE00135,APT00055,2,4,Domestic
GATE00136,APT00180,2,58,International
GATE00137,APT00224,D,20,Domestic
GATE00138,APT00095,C,45,Domestic
GATE00139,APT00082,3,53,Domestic
GATE00140,APT00143,D,59,Domestic
GATE00141,APT00247,1,7,Domestic
GATE00142,APT00093,1,11,Domestic
GATE00143,APT00069,A,39,International
GATE00144,APT00133,C,45,International
GATE00145,APT00230,C,50,International
GATE00146,APT00185,B,33,International
GATE00147,APT00132,2,10,Domestic
GATE00148,APT00185,3,43,International
GATE00149,APT00004,3,40,Domestic
GATE00150,APT00190,B,28,International
GATE00151,APT00024,D,38,International
GATE00152,APT00098,B,13,International
GATE00153,APT00088,A,48,Domestic
GATE00154,APT00175,E,3,Domestic
GATE00155,APT00060,2,50,Domestic
GATE00156,APT00060,A,50,International
GATE00157,APT00222,1,41,International
GATE00158,APT00120,A,49,Domestic
GATE00159,APT00187,2,54,Domestic
GATE00160,APT00149,A,10,International
GATE00161,APT00158,D,33,Domestic
GATE00162,APT00174,A,39,Domestic
GATE00163,APT00169,D,56,Domestic
GATE00164,APT00229,D,44,Domestic
GATE00165,APT00198,E,36,International
GATE00166,APT00076,2,33,Domestic
GATE00167,APT00042,3,9,International
GATE00168,APT00213,C,19,International
GATE00169,APT00093,3,26,Domestic
GATE00170,APT00077,D,52,Domestic
GATE00171,APT00028,A,51,Domestic
GATE00172,APT00141,E,38,Domestic
GATE00173,APT00130,1,7,Domestic
GATE00174,APT00209,C,43,International
GATE00175,APT00189,E,28,Domestic
GATE00176,APT00183,D,39,Domestic
GATE00177,APT00137,B,26,International
