transaction_id,loyalty_id,flight_id,points_earned,points_redeemed,transaction_date,transaction_type
LT00000001,LOY0000013,FLT0003167,0,5424,2020-06-01,Redeem
LT00000002,LOY0020322,,0,0,2026-01-03,Adjustment
LT00000003,LOY0001334,FLT0034794,4125,0,2021-08-29,Earn
LT00000004,LOY0014172,FLT0064650,4194,0,2023-12-25,Earn
LT00000005,LOY0019694,,2274,0,2026-06-01,Earn
LT00000006,LOY0019146,,1719,0,2024-11-24,Earn
LT00000007,LOY0004773,,0,2698,2025-06-14,Redeem
LT00000008,LOY0008126,FLT0002601,0,5759,2024-12-20,Redeem
LT00000009,LOY0021555,FLT0034171,3893,0,2020-09-27,Earn
LT00000010,LOY0030382,FLT0065526,0,0,2022-08-15,Adjustment
LT00000011,LOY0028094,FLT0079989,3836,0,2024-04-14,Earn
LT00000012,LOY0002650,FLT0067092,0,8439,2023-12-28,Redeem
LT00000013,LOY0001849,FLT0009067,1298,0,2021-07-08,Earn
LT00000014,LOY0022917,FLT0043952,0,15377,2026-02-08,Redeem
LT00000015,LOY0000522,FLT0063962,3431,0,2024-10-29,Earn
LT00000016,LOY0023126,FLT0007214,0,0,2020-09-20,Adjustment
LT00000017,LOY0021840,FLT0032833,4069,0,2021-04-19,Earn
LT00000018,LOY0021932,,2914,0,2022-05-27,Earn
LT00000019,LOY0031615,,3605,0,2022-09-13,Earn
LT00000020,LOY0012320,FLT0068760,2827,0,2020-10-11,Earn
LT00000021,LOY0031169,,1991,0,2022-11-17,Earn
LT00000022,LOY0000766,,112,0,2020-10-27,Bonus
LT00000023,LOY0013191,FLT0023227,0,17406,2022-03-26,Redeem
LT00000024,LOY0025814,FLT0062468,1157,0,2026-05-08,Earn
LT00000025,LOY0003123,FLT0050001,3342,0,2021-03-26,Bonus
LT00000026,LOY0031385,FLT0033605,1249,0,2022-11-20,Earn
LT00000027,LOY0032039,,2332,0,2022-06-04,Earn
LT00000028,LOY0015377,FLT0017636,4726,0,2025-03-26,Bonus
LT00000029,LOY0009166,FLT0064659,0,8919,2022-09-02,Redeem
LT00000030,LOY0019132,FLT0040483,1593,0,2022-04-27,Bonus
LT00000031,LOY0032479,FLT0006997,4665,0,2025-02-07,Bonus
LT00000032,LOY0017876,FLT0018632,3571,0,2024-07-23,Bonus
LT00000033,LOY0026845,FLT0013170,3038,0,2020-07-14,Earn
LT00000034,LOY0004157,FLT0045318,0,10559,2021-01-27,Redeem
LT00000035,LOY0002953,FLT0077949,173,0,2022-08-08,Earn
LT00000036,LOY0027858,FLT0022253,0,19448,2020-04-04,Redeem
LT00000037,LOY0015774,FLT0059079,4630,0,2020-10-20,Earn
LT00000038,LOY0007407,,3882,0,2020-10-01,Earn
LT00000039,LOY0018695,FLT0027452,3243,0,2026-02-15,Earn
LT00000040,LOY0001722,FLT0051818,0,10552,2023-05-04,Redeem
LT00000041,LOY0026237,FLT0002336,2153,0,2022-10-28,Earn
LT00000042,LOY0012048,,0,19257,2023-07-03,Redeem
LT00000043,LOY0029144,,0,0,2022-10-21,Adjustment
LT00000044,LOY0021150,FLT0059776,2414,0,2023-08-09,Earn
LT00000045,LOY0026343,,4145,0,2021-02-24,Earn
LT00000046,LOY0029206,FLT0006171,2401,0,2023-09-16,Earn
LT00000047,LOY0009742,,0,539,2024-03-11,Redeem
LT00000048,LOY0016042,FLT0067621,2033,0,2021-09-14,Earn
LT00000049,LOY0006589,FLT0069405,3798,0,2022-07-21,Bonus
LT00000050,LOY0012295,FLT0006499,2727,0,2020-06-30,Earn
LT00000051,LOY0029598,FLT0020374,3122,0,2020-02-20,Earn
LT00000052,LOY0025944,FLT0068402,3820,0,2024-08-29,Bonus
LT00000053,LOY0002235,FLT0034271,4816,0,2025-09-22,Earn
LT00000054,LOY0026510,FLT0021019,1945,0,2023-09-09,Bonus
LT00000055,LOY0032857,,2143,0,2020-01-24,Earn
LT00000056,LOY0025183,FLT0051377,0,9544,2024-05-23,Redeem
LT00000057,LOY0002418,FLT0022533,1688,0,2025-02-21,Earn
LT00000058,LOY0022013,FLT0075299,3895,0,2025-03-24,Earn
LT00000059,LOY0018812,FLT0068483,56,0,2022-02-07,Earn
LT00000060,LOY0004394,,3836,0,2025-04-09,Earn
LT00000061,LOY0027715,FLT0055745,3625,0,2022-11-05,Earn
LT00000062,LOY0007003,,0,0,2025-08-09,Adjustment
LT00000063,LOY0030428,FLT0017707,0,15275,2023-11-21,Redeem
LT00000064,LOY0010788,,2938,0,2022-02-04,Earn
LT00000065,LOY0012437,,3742,0,2023-12-29,Earn
LT00000066,LOY0008724,FLT0055072,656,0,2022-02-20,Bonus
LT00000067,LOY0032365,,0,0,2021-06-19,Adjustment
