refund_id,payment_id,booking_id,refund_date,refund_amount,reason
REF000001,PAY00000060,BK00000060,2026-04-14,491.21,Schedule Change
REF000002,PAY00000194,BK00000194,2026-03-15,279.79,Duplicate Booking
REF000003,PAY00000274,BK00000274,2025-10-30,1778.91,Medical Emergency
REF000004,PAY00000710,BK00000710,2025-07-17,794.81,Passenger Request
REF000005,PAY00001244,BK00001244,2026-03-13,2683.89,Passenger Request
REF000006,PAY00001471,BK00001471,2026-05-07,1273.28,Flight Cancelled
REF000007,PAY00001629,BK00001629,2025-09-11,1407.3,Passenger Request
REF000008,PAY00001674,BK00001674,2025-09-06,2868.4,Flight Cancelled
REF000009,PAY00001719,BK00001719,2026-02-22,329.26,Schedule Change
REF000010,PAY00002252,BK00002252,2026-01-02,554.88,Passenger Request
REF000011,PAY00002498,BK00002498,2026-01-02,4075.59,Flight Cancelled
REF000012,PAY00003376,BK00003376,2026-03-06,1681.57,Schedule Change
REF000013,PAY00004235,BK00004235,2025-11-30,1186.81,Passenger Request
REF000014,PAY00004282,BK00004282,2025-07-25,2611.45,Medical Emergency
REF000015,PAY00004740,BK00004740,2025-11-02,409.83,Passenger Request
REF000016,PAY00004754,BK00004754,2026-05-21,1283.77,Schedule Change
REF000017,PAY00004801,BK00004801,2026-02-17,779.02,Duplicate Booking
REF000018,PAY00004858,BK00004858,2025-06-26,120.54,Medical Emergency
REF000019,PAY00005466,BK00005466,2026-01-24,690.84,Flight Cancelled
REF000020,PAY00005516,BK00005516,2025-06-28,1889.89,Flight Cancelled
REF000021,PAY00005639,BK00005639,2026-03-29,3999.17,Flight Cancelled
REF000022,PAY00005701,BK00005701,2026-01-02,2169.99,Flight Cancelled
REF000023,PAY00006013,BK00006013,2025-08-13,522.91,Duplicate Booking
REF000024,PAY00006021,BK00006021,2025-06-29,974.81,Duplicate Booking
REF000025,PAY00006045,BK00006045,2026-01-13,687.7,Flight Cancelled
REF000026,PAY00006370,BK00006370,2026-01-02,1482.28,Flight Cancelled
REF000027,PAY00006629,BK00006629,2025-08-28,283.02,Flight Cancelled
REF000028,PAY00006813,BK00006813,2025-06-22,1116.19,Passenger Request
REF000029,PAY00006922,BK00006922,2025-05-09,757.13,Schedule Change
REF000030,PAY00006961,BK00006961,2025-08-04,1904.97,Flight Cancelled
REF000031,PAY00006972,BK00006972,2025-08-22,665.01,Duplicate Booking
REF000032,PAY00006977,BK00006977,2025-08-22,1297.28,Schedule Change
REF000033,PAY00007116,BK00007116,2025-12-15,521.74,Passenger Request
REF000034,PAY00007257,BK00007257,2025-05-31,788.14,Passenger Request
REF000035,PAY00007443,BK00007443,2025-12-16,3885.29,Schedule Change
REF000036,PAY00007998,BK00007998,2026-01-01,340.41,Flight Cancelled
REF000037,PAY00008263,BK00008263,2025-04-25,2631.38,Schedule Change
REF000038,PAY00008685,BK00008685,2026-01-12,2114.28,Flight Cancelled
REF000039,PAY00008826,BK00008826,2025-08-26,1950.27,Duplicate Booking
REF000040,PAY00008875,BK00008875,2026-01-18,2783.81,Flight Cancelled
REF000041,PAY00009162,BK00009162,2026-02-08,1038.13,Duplicate Booking
REF000042,PAY00009842,BK00009842,2026-06-21,1163.34,Flight Cancelled
REF000043,PAY00010028,BK00010028,2026-02-16,2305.75,Duplicate Booking
REF000044,PAY00010470,BK00010470,2025-10-22,2999.46,Duplicate Booking
REF000045,PAY00010500,BK00010500,2026-01-08,1914.6,Medical Emergency
REF000046,PAY00010527,BK00010527,2026-03-06,1117.45,Duplicate Booking
REF000047,PAY00010598,BK00010598,2025-06-15,3120.66,Schedule Change
REF000048,PAY00010616,BK00010616,2026-03-04,466.9,Schedule Change
REF000049,PAY00010644,BK00010644,2025-09-06,971.83,Duplicate Booking
REF000050,PAY00010812,BK00010812,2026-04-26,2364.96,Passenger Request
REF000051,PAY00011165,BK00011165,2026-03-07,2710.18,Schedule Change
REF000052,PAY00011313,BK00011313,2025-06-01,1638.18,Medical Emergency
REF000053,PAY00011361,BK00011361,2025-10-05,647.6,Flight Cancelled
REF000054,PAY00011672,BK00011672,2025-09-11,1318.29,Passenger Request
REF000055,PAY00012127,BK00012127,2025-10-26,2028.73,Duplicate Booking
REF000056,PAY00012300,BK00012300,2025-09-24,2420.82,Flight Cancelled
REF000057,PAY00012435,BK00012435,2026-01-27,582.87,Schedule Change
REF000058,PAY00012565,BK00012565,2025-12-17,479.43,Flight Cancelled
REF000059,PAY00012576,BK00012576,2025-06-12,2530.42,Medical Emergency
REF000060,PAY00012748,BK00012748,2025-10-30,1119.14,Schedule Change
REF000061,PAY00013268,BK00013268,2025-09-14,3282.11,Schedule Change
REF000062,PAY00013630,BK00013630,2026-01-10,890.18,Duplicate Booking
REF000063,PAY00013682,BK00013682,2026-06-23,3678.03,Schedule Change
REF000064,PAY00013722,BK00013722,2025-11-17,2592.23,Medical Emergency
REF000065,PAY00014327,BK00014327,2026-01-26,793.88,Flight Cancelled
REF000066,PAY00014787,BK00014787,2025-12-24,1172.22,Schedule Change
REF000067,PAY00014987,BK00014987,2025-12-26,1178.72,Schedule Change
REF000068,PAY00015011,BK00015011,2026-02-17,1445.35,Medical Emergency
REF000069,PAY00015031,BK00015031,2026-05-10,2626.27,Duplicate Booking
REF000070,PAY00015249,BK00015249,2025-06-18,49.27,Duplicate Booking
REF000071,PAY00015552,BK00015552,2025-12-28,1710.54,Duplicate Booking
REF000072,PAY00016096,BK00016096,2026-01-11,2131.1,Passenger Request
REF000073,PAY00016306,BK00016306,2025-07-05,1218.73,Schedule Change
REF000074,PAY00016510,BK00016510,2026-04-17,98.67,Medical Emergency
REF000075,PAY00016513,BK00016513,2026-05-11,3769.08,Duplicate Booking
REF000076,PAY00016583,BK00016583,2026-01-19,3016.87,Flight Cancelled
REF000077,PAY00016600,BK00016600,2026-03-15,303.75,Passenger Request
REF000078,PAY00016637,BK00016637,2026-01-16,1129.65,Medical Emergency
REF000079,PAY00017143,BK00017143,2025-06-26,371.62,Passenger Request
REF000080,PAY00017348,BK00017348,2026-02-19,2268.81,Schedule Change
REF000081,PAY00017584,BK00017584,2025-10-09,1851.6,Schedule Change
REF000082,PAY00017653,BK00017653,2025-08-03,2308.63,Passenger Request
REF000083,PAY00017732,BK00017732,2026-02-24,906.87,Schedule Change
REF000084,PAY00017791,BK00017791,2025-06-06,148.29,Passenger Request
REF000085,PAY00017933,BK00017933,2026-06-04,1161.78,Schedule Change
REF000086,PAY00017934,BK00017934,2025-07-19,3523.48,Medical Emergency
REF000087,PAY00018123,BK00018123,2025-09-19,1662.38,Flight Cancelled
REF000088,PAY00018130,BK00018130,2026-01-06,1721.91,Flight Cancelled
REF000089,PAY00018278,BK00018278,2025-12-03,1351.66,Passenger Request
REF000090,PAY00018482,BK00018482,2025-10-31,1311.42,Flight Cancelled
REF000091,PAY00018548,BK00018548,2025-07-26,698.35,Schedule Change
REF000092,PAY00018572,BK00018572,2025-08-09,255.67,Schedule Change
REF000093,PAY00018849,BK00018849,2025-09-08,1230.23,Passenger Request
REF000094,PAY00018911,BK00018911,2026-07-14,2826.0,Medical Emergency
REF000095,PAY00019330,BK00019330,2026-01-20,2969.41,Duplicate Booking
REF000096,PAY00019340,BK00019340,2026-03-09,3356.01,Medical Emergency
REF000097,PAY00019474,BK00019474,2025-10-02,1236.7,Schedule Change
REF000098,PAY00019613,BK00019613,2025-10-10,198.69,Passenger Request
REF000099,PAY00019665,BK00019665,2026-06-14,417.4,Schedule Change
REF000100,PAY00020059,BK00020059,2025-12-02,1351.5,Duplicate Booking
REF000101,PAY00020193,BK00020193,2026-02-17,1720.99,Passenger Request
REF000102,PAY00020221,BK00020221,2025-12-04,3266.35,Passenger Request
REF000103,PAY00020310,BK00020310,2025-07-06,1719.34,Medical Emergency
REF000104,PAY00020419,BK00020419,2025-11-04,2147.47,Schedule Change
REF000105,PAY00020543,BK00020543,2025-09-01,581.13,Duplicate Booking
REF000106,PAY00021210,BK00021210,2026-04-18,4121.07,Passenger Request
REF000107,PAY00021638,BK00021638,2026-03-17,2805.65,Flight Cancelled
REF000108,PAY00021862,BK00021862,2025-09-21,334.69,Flight Cancelled
REF000109,PAY00022054,BK00022054,2026-03-06,2243.84,Duplicate Booking
REF000110,PAY00022059,BK00022059,2025-10-05,521.62,Schedule Change
REF000111,PAY00023186,BK00023186,2026-03-27,565.31,Passenger Request
REF000112,PAY00023391,BK00023391,2025-11-09,1913.22,Schedule Change
REF000113,PAY00023985,BK00023985,2026-07-19,1137.24,Flight Cancelled
REF000114,PAY00024155,BK00024155,2026-02-16,2983.48,Flight Cancelled
REF000115,PAY00024334,BK00024334,2025-08-09,1409.66,Schedule Change
REF000116,PAY00024506,BK00024506,2025-09-17,2492.86,Schedule Change
REF000117,PAY00024537,BK00024537,2026-02-02,1810.32,Passenger Request
REF000118,PAY00024540,BK00024540,2025-09-07,231.99,Schedule Change
REF000119,PAY00024623,BK00024623,2026-04-27,954.83,Duplicate Booking
REF000120,PAY00024668,BK00024668,2026-03-17,84.47,Schedule Change
REF000121,PAY00024952,BK00024952,2025-10-24,461.82,Flight Cancelled
REF000122,PAY00024974,BK00024974,2026-02-21,2949.49,Medical Emergency
REF000123,PAY00025107,BK00025107,2026-03-21,1729.79,Duplicate Booking
REF000124,PAY00025117,BK00025117,2025-11-06,3237.77,Duplicate Booking
REF000125,PAY00025620,BK00025620,2025-12-26,2935.84,Medical Emergency
REF000126,PAY00025669,BK00025669,2025-07-23,962.51,Schedule Change
REF000127,PAY00025978,BK00025978,2026-01-22,2703.88,Passenger Request
REF000128,PAY00026010,BK00026010,2025-06-23,1811.51,Medical Emergency
REF000129,PAY00026122,BK00026122,2026-07-07,3049.96,Duplicate Booking
REF000130,PAY00026372,BK00026372,2025-03-30,2435.25,Medical Emergency
REF000131,PAY00026384,BK00026384,2025-11-25,77.1,Duplicate Booking
REF000132,PAY00026484,BK00026484,2025-11-19,157.14,Flight Cancelled
REF000133,PAY00026897,BK00026897,2025-12-01,211.35,Passenger Request
REF000134,PAY00026947,BK00026947,2025-12-20,1587.37,Passenger Request
REF000135,PAY00027011,BK00027011,2026-08-03,1571.03,Passenger Request
REF000136,PAY00027169,BK00027169,2026-06-26,1661.87,Flight Cancelled
REF000137,PAY00027248,BK00027248,2025-10-11,406.15,Duplicate Booking
REF000138,PAY00027292,BK00027292,2026-01-30,574.89,Medical Emergency
REF000139,PAY00027400,BK00027400,2026-02-11,1446.34,Duplicate Booking
REF000140,PAY00027529,BK00027529,2025-08-10,761.49,Flight Cancelled
REF000141,PAY00027635,BK00027635,2026-05-13,566.42,Passenger Request
REF000142,PAY00027866,BK00027866,2025-11-20,829.57,Flight Cancelled
REF000143,PAY00028332,BK00028332,2025-11-04,2181.99,Duplicate Booking
REF000144,PAY00028442,BK00028442,2026-03-07,3061.94,Schedule Change
REF000145,PAY00028599,BK00028599,2025-11-23,2386.38,Flight Cancelled
REF000146,PAY00028638,BK00028638,2026-06-19,1501.02,Medical Emergency
REF000147,PAY00028937,BK00028937,2025-08-24,557.07,Medical Emergency
REF000148,PAY00029021,BK00029021,2026-06-05,560.78,Duplicate Booking
REF000149,PAY00029140,BK00029140,2025-08-24,1484.51,Duplicate Booking
REF000150,PAY00029401,BK00029401,2025-11-23,2463.13,Flight Cancelled
REF000151,PAY00029546,BK00029546,2026-02-27,1429.2,Duplicate Booking
REF000152,PAY00029594,BK00029594,2026-06-09,3643.25,Schedule Change
REF000153,PAY00029661,BK00029661,2026-04-17,1599.02,Duplicate Booking
REF000154,PAY00029809,BK00029809,2025-07-24,296.55,Duplicate Booking
REF000155,PAY00029852,BK00029852,2025-10-23,3184.17,Passenger Request
REF000156,PAY00029870,BK00029870,2026-02-04,1785.48,Schedule Change
REF000157,PAY00029874,BK00029874,2025-07-25,508.39,Medical Emergency
REF000158,PAY00030334,BK00030334,2025-09-17,3027.59,Flight Cancelled
