seat_assignment_id,flight_id,aircraft_id,seat_number,passenger_id,class
SA00000001,FLT0021533,ACFT00341,30H,PAX00000001,Premium Economy
SA00000002,FLT0020583,ACFT00162,30E,PAX00000003,First
SA00000003,FLT0038067,ACFT00456,34F,PAX00000004,Economy
SA00000004,FLT0038067,ACFT00456,1D,PAX00000005,Economy
SA00000005,FLT0038067,ACFT00456,2B,PAX00000006,Economy
SA00000006,FLT0038067,ACFT00456,38G,PAX00000007,Economy
SA00000007,FLT0057722,ACFT00091,43F,PAX00000008,Economy
SA00000008,FLT0057722,ACFT00091,35K,PAX00000009,Business
SA00000009,FLT0061254,ACFT00433,39H,PAX00000011,Economy
SA00000010,FLT0073427,ACFT00488,35E,PAX00000012,Premium Economy
SA00000011,FLT0073427,ACFT00488,43C,PAX00000013,Economy
SA00000012,FLT0073427,ACFT00488,8K,PAX00000014,Economy
SA00000013,FLT0036847,ACFT00588,20E,PAX00000016,Business
SA00000014,FLT0047345,ACFT00407,25H,PAX00000017,Economy
SA00000015,FLT0047345,ACFT00407,12J,PAX00000018,Economy
SA00000016,FLT0032530,ACFT00233,27J,PAX00000019,Economy
SA00000017,FLT0032530,ACFT00233,20G,PAX00000020,Economy
SA00000018,FLT0055658,ACFT00343,21D,PAX00000021,Economy
SA00000019,FLT0055658,ACFT00343,10G,PAX00000022,Economy
SA00000020,FLT0030110,ACFT00542,22A,PAX00000023,Premium Economy
SA00000021,FLT0031669,ACFT00521,11D,PAX00000024,Economy
SA00000022,FLT0059081,ACFT00094,16C,PAX00000025,Economy
SA00000023,FLT0020271,ACFT00051,26C,PAX00000026,Economy
SA00000024,FLT0020271,ACFT00051,13D,PAX00000027,Economy
SA00000025,FLT0043889,ACFT00029,40H,PAX00000028,Economy
SA00000026,FLT0043889,ACFT00029,25G,PAX00000029,Economy
SA00000027,FLT0043889,ACFT00029,10B,PAX00000030,Economy
SA00000028,FLT0037379,ACFT00271,43K,PAX00000031,Economy
SA00000029,FLT0037379,ACFT00271,25G,PAX00000032,Business
SA00000030,FLT0072337,ACFT00036,17E,PAX00000033,Economy
SA00000031,FLT0051267,ACFT00312,44F,PAX00000034,Economy
SA00000032,FLT0026304,ACFT00106,22A,PAX00000036,Economy
SA00000033,FLT0026304,ACFT00106,26G,PAX00000037,Premium Economy
SA00000034,FLT0040786,ACFT00354,17G,PAX00000038,Premium Economy
SA00000035,FLT0040786,ACFT00354,17B,PAX00000039,Premium Economy
SA00000036,FLT0035047,ACFT00053,12B,PAX00000040,Economy
SA00000037,FLT0035047,ACFT00053,11J,PAX00000041,Premium Economy
SA00000038,FLT0035047,ACFT00053,7F,PAX00000043,Economy
SA00000039,FLT0056560,ACFT00373,37K,PAX00000044,Economy
SA00000040,FLT0056560,ACFT00373,4A,PAX00000045,Premium Economy
SA00000041,FLT0056560,ACFT00373,40H,PAX00000047,Premium Economy
SA00000042,FLT0079227,ACFT00040,24F,PAX00000048,Business
SA00000043,FLT0068680,ACFT00289,38C,PAX00000049,Economy
SA00000044,FLT0068680,ACFT00289,33A,PAX00000050,Premium Economy
SA00000045,FLT0068680,ACFT00289,40F,PAX00000051,Economy
SA00000046,FLT0029197,ACFT00514,26D,PAX00000052,Economy
SA00000047,FLT0005555,ACFT00048,37A,PAX00000054,Economy
SA00000048,FLT0047570,ACFT00225,33K,PAX00000055,Economy
SA00000049,FLT0047570,ACFT00225,22K,PAX00000057,Economy
SA00000050,FLT0004028,ACFT00050,1J,PAX00000058,Economy
SA00000051,FLT0035645,ACFT00469,24H,PAX00000059,Economy
SA00000052,FLT0079311,ACFT00098,19A,PAX00000060,Economy
SA00000053,FLT0066089,ACFT00278,9E,PAX00000061,Economy
SA00000054,FLT0066089,ACFT00278,8C,PAX00000062,Economy
SA00000055,FLT0007488,ACFT00421,29J,PAX00000064,Premium Economy
SA00000056,FLT0007488,ACFT00421,5K,PAX00000065,Economy
SA00000057,FLT0007488,ACFT00421,21B,PAX00000066,Premium Economy
SA00000058,FLT0007488,ACFT00421,25G,PAX00000067,Economy
SA00000059,FLT0037926,ACFT00294,34B,PAX00000068,Economy
SA00000060,FLT0037926,ACFT00294,40E,PAX00000069,Economy
SA00000061,FLT0019750,ACFT00335,8K,PAX00000070,Economy
SA00000062,FLT0003856,ACFT00091,20J,PAX00000071,Premium Economy
SA00000063,FLT0003856,ACFT00091,41F,PAX00000072,Economy
