store_id,product_id,supplier_id
ST01,P029,BSUP013
ST01,P033,BSUP004
ST01,P024,BSUP019
ST01,P005,BSUP006
ST01,P023,BSUP001
ST01,P053,BSUP023
ST01,P042,BSUP025
ST01,P020,BSUP008
ST02,P029,BSUP013
ST02,P053,BSUP023
ST02,P019,BSUP021
ST02,P023,BSUP001
ST02,P042,BSUP025
ST02,P024,BSUP019
ST02,P005,BSUP007
ST02,P003,BSUP014
ST03,P029,BSUP013
ST03,P030,BSUP009
ST03,P003,BSUP014
ST03,P005,BSUP007
ST03,P033,BSUP004
ST03,P024,BSUP020
ST03,P053,BSUP024
ST03,P020,BSUP008
ST04,P023,BSUP001
ST04,P029,BSUP012
ST04,P030,BSUP009
ST04,P005,BSUP005
ST04,P020,BSUP008
ST04,P024,BSUP019
ST04,P004,BSUP018
ST04,P033,BSUP004
ST05,P042,BSUP025
ST05,P024,BSUP019
ST05,P023,BSUP001
ST05,P029,BSUP013
ST05,P005,BSUP005
ST05,P030,BSUP010
ST05,P020,BSUP008
ST05,P033,BSUP004
