product_id,product_name,unit_price,tax_rate,price_with_tax
P037,Remote Control Car,48.25,0.05,50.66
P024,Knife Set,69.69,0.07,74.57
P030,Cycling Helmet,193.93,0.08,209.44
P052,Stapler,42.85,0.05,44.99
P036,Building Blocks Set,24.01,0.1,26.41
P009,Smart Speaker,320.06,0.1,352.07
P040,Board Game,11.36,0.08,12.27
P006,Portable SSD 1TB,334.75,0.07,358.18
P005,Noise Cancelling Headphones,306.41,0.07,327.86
P020,Rain Jacket,43.08,0.07,46.1
P026,Yoga Mat,152.06,0.1,167.27
P031,Mystery Novel,13.58,0.05,14.26
P034,History Book,7.11,0.05,7.47
P027,Dumbbell Set,186.86,0.07,199.94
P042,Shampoo,14.5,0.08,15.66
