employee_id,salary,valid_from,valid_to
E016,52000,2020-07-25,2021-05-03
E016,54000,2021-05-04,
E006,42000,2020-07-14,2021-07-11
E006,44000,2021-07-12,2022-06-26
E006,48000,2022-06-27,
E005,30000,2021-12-09,2022-12-12
E005,34000,2022-12-13,
E003,30000,2020-10-27,2021-06-16
E003,32000,2021-06-17,2022-05-30
E003,36000,2022-05-31,
E015,14000,2020-12-27,2022-02-02
E015,18000,2022-02-03,2022-08-31
E015,20000,2022-09-01,
E001,30000,2021-03-24,2021-11-23
E001,32000,2021-11-24,2022-09-20
E001,36000,2022-09-21,
