order_id,product_id,product_name,category_id,category_name,quantity,unit_price,line_total
O0001,P033,Science Fiction Novel,CAT06,Books,3,34.52,103.56
O0001,P020,Rain Jacket,CAT03,Clothing,2,43.08,86.16
O0002,P045,Sunscreen SPF50,CAT08,Beauty,1,31.0,31.0
O0002,P019,Wool Sweater,CAT03,Clothing,1,63.48,63.48
O0002,P036,Building Blocks Set,CAT07,Toys,2,24.01,48.02
O0003,P044,Lipstick Set,CAT08,Beauty,3,26.8,80.4
O0003,P048,Car Vacuum,CAT09,Automotive,3,122.65,367.95
O0003,P012,Ergonomic Chair,CAT02,Furniture,2,256.52,513.04
O0004,P020,Rain Jacket,CAT03,Clothing,2,43.08,86.16
O0005,P051,Printer Paper Ream,CAT10,Office Supplies,3,21.11,63.33
O0005,P038,Puzzle 1000pc,CAT07,Toys,2,29.0,58.0
O0005,P039,Action Figure,CAT07,Toys,2,59.13,118.26
O0006,P044,Lipstick Set,CAT08,Beauty,3,26.8,80.4
O0006,P014,Filing Cabinet,CAT02,Furniture,1,462.49,462.49
O0006,P033,Science Fiction Novel,CAT06,Books,3,34.52,103.56
O0006,P031,Mystery Novel,CAT06,Books,1,13.58,13.58
O0007,P006,Portable SSD 1TB,CAT01,Electronics,1,334.75,334.75
O0007,P053,Desk Organizer,CAT10,Office Supplies,3,41.67,125.01
O0007,P049,Seat Cover Set,CAT09,Automotive,2,97.66,195.32
O0008,P010,Wireless Charger,CAT01,Electronics,1,181.41,181.41
O0008,P002,Bluetooth Mouse,CAT01,Electronics,1,417.15,417.15
O0009,P030,Cycling Helmet,CAT05,Sports,2,193.93,387.86
O0010,P046,Car Phone Mount,CAT09,Automotive,2,106.2,212.4
O0010,P045,Sunscreen SPF50,CAT08,Beauty,2,31.0,62.0
O0011,P010,Wireless Charger,CAT01,Electronics,3,181.41,544.23
O0011,P042,Shampoo,CAT08,Beauty,1,14.5,14.5
O0012,P050,Tire Pressure Gauge,CAT09,Automotive,2,31.24,62.48
O0013,P052,Stapler,CAT10,Office Supplies,3,42.85,128.55
O0013,P045,Sunscreen SPF50,CAT08,Beauty,2,31.0,62.0
O0014,P055,Sticky Notes Pack,CAT10,Office Supplies,2,30.86,61.72
O0014,P008,Mechanical Keyboard,CAT01,Electronics,1,84.25,84.25
O0015,P043,Perfume,CAT08,Beauty,2,7.22,14.44
O0015,P034,History Book,CAT06,Books,2,7.11,14.22
O0015,P036,Building Blocks Set,CAT07,Toys,3,24.01,72.03
O0015,P039,Action Figure,CAT07,Toys,3,59.13,177.39
O0016,P054,Ballpoint Pen Pack,CAT10,Office Supplies,1,29.17,29.17
O0016,P036,Building Blocks Set,CAT07,Toys,3,24.01,72.03
O0016,P029,Soccer Ball,CAT05,Sports,2,13.85,27.7
O0017,P049,Seat Cover Set,CAT09,Automotive,3,97.66,292.98
O0017,P016,Cotton T-Shirt,CAT03,Clothing,2,76.0,152.0
O0018,P041,Moisturizer Cream,CAT08,Beauty,1,49.98,49.98
O0018,P016,Cotton T-Shirt,CAT03,Clothing,3,76.0,228.0
O0018,P018,Running Shoes,CAT03,Clothing,2,29.39,58.78
O0018,P029,Soccer Ball,CAT05,Sports,1,13.85,13.85
O0019,P021,Stainless Steel Pan,CAT04,Kitchen,1,57.36,57.36
O0019,P035,Children's Storybook,CAT06,Books,1,23.3,23.3
O0019,P006,Portable SSD 1TB,CAT01,Electronics,1,334.75,334.75
O0020,P046,Car Phone Mount,CAT09,Automotive,1,106.2,106.2
O0020,P014,Filing Cabinet,CAT02,Furniture,2,462.49,924.98
O0021,P035,Children's Storybook,CAT06,Books,1,23.3,23.3
O0021,P030,Cycling Helmet,CAT05,Sports,1,193.93,193.93
O0021,P027,Dumbbell Set,CAT05,Sports,2,186.86,373.72
O0022,P055,Sticky Notes Pack,CAT10,Office Supplies,3,30.86,92.58
O0023,P001,Wireless Keyboard,CAT01,Electronics,2,93.02,186.04
O0023,P023,Coffee Maker,CAT04,Kitchen,2,141.47,282.94
O0023,P020,Rain Jacket,CAT03,Clothing,3,43.08,129.24
